2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0.8,0.77,0.84,0.84,0.91,0.9,0.89,0.9,0.89,0.87,0.84
0.89,0.84,0.76,0.89,0.85,0.68,0.79,0.68,0.85,0.75,0.78
0.58,0.44,0.44,0.48,0.53,0.37,0.43,0.37,0.53,0.48,0.44
0.63,0.63,0.64,0.7,0.76,0.87,0.88,0.84,0.87,0.86,0.91
0.8,0.8,0.8,0.8,0.8,0.65,0.69,0.68,0.67,0.73,0.74
0.46,0.46,0.37,0.37,0.41,0.48,0.61,0.51,0.4,0.3,0.48
0.68,0.69,0.66,0.65,0.78,0.7,0.7,0.7,0.53,0.85,0.9
0.92,0.92,0.92,0.89,0.89,0.88,0.84,0.84,0.8,0.8,0.83
0.54,0.46,0.46,0.51,0.63,0.57,0.67,0.49,0.56,0.55,0.66
0.73,0.76,0.68,0.78,0.84,0.61,0.74,0.81,0.78,0.82,0.89
0.6,0.6,0.78,0.7,0.88,0.77,0.78,0.72,0.78,0.83,0.87
0.53,0.6,0.8,0.8,0.8,0.76,0.73,0.77,0.78,0.77,0.73
0.39,0.39,0.43,0.42,0.35,0.31,0.0,0.65,0.6,0.67,0.63
0.89,0.89,0.83,0.86,0.95,0.9,0.88,0.92,0.89,0.87,0.91
0.68,0.66,0.59,0.56,0.72,0.68,0.74,0.71,0.75,0.77,0.77
0.68,0.54,0.7,0.74,0.57,0.57,0.5,0.62,0.57,0.62,0.63
0.8,0.77,0.73,0.77,0.81,0.75,0.82,0.84,0.83,0.84,0.85
0.65,0.0,0.77,0.79,0.76,0.69,0.69,0.73,0.77,0.77,0.77
0.81,0.73,0.86,0.78,0.88,0.84,0.78,0.8,0.74,0.78,0.75
0.75,0.62,0.58,0.64,0.71,0.63,0.71,0.82,0.79,0.75,0.85
0.38,0.0,0.51,0.45,0.59,0.64,0.57,0.44,0.56,0.83,0.86
0.82,0.82,0.82,0.7,0.77,0.93,0.75,0.0,0.82,0.84,0.88
0.68,0.72,0.7,0.72,0.75,0.7,0.76,0.74,0.81,0.81,0.86
0.7,0.63,0.44,0.56,0.56,0.56,0.63,0.67,0.66,0.69,0.7
0.52,0.52,0.66,0.68,0.66,0.62,0.65,0.66,0.6,0.66,0.6
0.79,0.72,0.82,0.82,0.59,0.59,0.59,0.59,0.67,0.76,0.73
0.59,0.62,0.5,0.52,0.57,0.5,0.56,0.51,0.64,0.61,0.75
0.94,0.94,0.94,0.91,0.96,0.92,0.79,0.94,0.93,0.88,0.9
0.44,0.55,0.55,0.51,0.61,0.61,0.64,0.64,0.66,0.71,0.75
0.33,0.33,0.55,0.55,0.55,0.49,0.48,0.53,0.54,0.57,0.57
0.91,0.88,0.88,0.73,0.73,0.64,0.75,0.79,0.8,0.81,0.85
0.84,0.78,0.87,0.77,0.84,0.85,0.79,0.81,0.67,0.87,0.87
0.49,0.49,0.63,0.75,0.82,0.7,0.66,0.65,0.63,0.7,0.75
0.8,0.8,0.8,0.8,0.88,0.86,0.91,0.9,0.91,0.92,0.92
0.57,0.59,0.74,0.67,0.57,0.49,0.6,0.47,0.45,0.47,0.53
0.67,0.68,0.68,0.78,0.83,0.79,0.74,0.78,0.72,0.75,0.86
0.7,0.64,0.55,0.6,0.63,0.6,0.66,0.62,0.6,0.56,0.55
0.78,0.48,0.63,0.63,0.7,0.69,0.75,0.75,0.69,0.76,0.67
0.51,0.56,0.56,0.55,0.55,0.46,0.5,0.5,0.58,0.57,0.63
0.66,0.66,0.66,0.66,0.58,0.76,0.57,0.71,0.71,0.82,0.81
0.41,0.62,0.62,0.52,0.52,0.64,0.72,0.71,0.76,0.84,0.85
0.9,0.88,0.92,0.92,0.93,0.88,0.92,0.91,0.9,0.91,0.92
0.88,0.89,0.92,0.92,0.93,0.9,0.94,0.93,0.94,0.93,0.94
0.84,0.79,0.75,0.79,0.78,0.85,0.86,0.82,0.81,0.72,0.92
0.58,0.65,0.88,0.82,0.78,0.73,0.83,0.69,0.73,0.7,0.68
0.64,0.58,0.54,0.57,0.65,0.65,0.62,0.68,0.68,0.8,0.83
0.4,0.34,0.39,0.36,0.38,0.37,0.45,0.54,0.59,0.63,0.71
0.37,0.36,0.47,0.5,0.52,0.54,0.45,0.66,0.56,0.61,0.63
0.64,0.71,0.72,0.75,0.83,0.78,0.81,0.89,0.85,0.88,0.9
0.7,0.65,0.72,0.73,0.67,0.75,0.91,0.76,0.81,0.85,0.89
0.64,0.64,0.64,0.76,0.77,0.7,0.7,0.72,0.8,0.83,0.83
0.85,0.86,0.87,0.89,0.88,0.91,0.91,0.9,0.91,0.91,0.93
0.77,0.82,0.82,0.79,0.87,0.81,0.78,0.88,0.79,0.87,0.83
0.65,0.65,0.72,0.72,0.88,0.77,0.79,0.85,0.8,0.84,0.91
0.69,0.61,0.61,0.57,0.65,0.64,0.65,0.75,0.8,0.82,0.84
0.59,0.64,0.62,0.61,0.63,0.61,0.66,0.74,0.69,0.71,0.73
0.75,0.75,0.77,0.83,0.83,0.84,0.9,0.89,0.91,0.91,0.91
0.62,0.53,0.64,0.68,0.6,0.56,0.66,0.76,0.82,0.77,0.81
0.7,0.61,0.56,0.78,0.64,0.67,0.64,0.69,0.72,0.74,0.69
0.45,0.37,0.37,0.46,0.44,0.46,0.53,0.53,0.55,0.61,0.68
0.72,0.72,0.73,0.73,0.77,0.72,0.72,0.68,0.62,0.68,0.71
0.87,0.66,0.78,0.85,0.82,0.83,0.83,0.83,0.89,0.9,0.93
0.64,0.64,0.64,0.64,0.73,0.62,0.6,0.63,0.59,0.7,0.71
0.9,0.9,0.9,0.9,0.91,0.9,0.89,0.89,0.9,0.9,0.92
0.69,0.75,0.74,0.74,0.84,0.59,0.71,0.79,0.86,0.77,0.79
0.66,0.52,0.6,0.68,0.68,0.62,0.64,0.62,0.62,0.59,0.54
0.78,0.83,0.75,0.8,0.82,0.75,0.76,0.74,0.73,0.77,0.76
0.74,0.83,0.8,0.74,0.82,0.8,0.83,0.87,0.9,0.83,0.83
0.91,0.91,0.86,0.9,0.94,0.94,0.94,0.95,0.94,0.92,0.93
0.64,0.64,0.68,0.68,0.76,0.7,0.69,0.69,0.7,0.72,0.76
0.82,0.82,0.74,0.78,0.78,0.75,0.69,0.85,0.85,0.7,0.83
0.72,0.56,0.61,0.6,0.74,0.58,0.65,0.65,0.76,0.78,0.8
0.87,0.87,0.87,0.86,0.93,0.85,0.78,0.9,0.88,0.92,0.92
0.78,0.78,0.78,0.62,0.6,0.57,0.54,0.59,0.71,0.61,0.48
0.46,0.42,0.46,0.51,0.45,0.47,0.54,0.65,0.65,0.64,0.64
0.0,0.0,0.0,0.0,0.0,0.79,0.7,0.8,0.7,0.75,0.72
0.71,0.58,0.76,0.8,0.73,0.65,0.76,0.83,0.76,0.74,0.77
0.49,0.49,0.46,0.48,0.58,0.56,0.57,0.53,0.43,0.5,0.6
0.85,0.85,0.85,0.88,0.89,0.92,0.94,0.0,0.92,0.95,0.96
0.84,0.76,0.82,0.84,0.9,0.89,0.91,0.86,0.83,0.82,0.81
0.87,0.88,0.83,0.83,0.86,0.82,0.79,0.87,0.85,0.76,0.87
0.79,0.81,0.83,0.83,0.85,0.87,0.89,0.9,0.92,0.89,0.9
0.83,0.83,0.0,0.0,0.93,0.91,0.95,0.95,0.98,0.98,0.99
0.68,0.68,0.68,0.77,0.77,0.8,0.64,0.57,0.51,0.46,0.64
0.92,0.89,0.83,0.83,0.82,0.86,0.92,0.0,0.0,0.89,0.0
0.67,0.64,0.64,0.66,0.64,0.71,0.54,0.66,0.61,0.53,0.6
0.68,0.72,0.7,0.66,0.66,0.79,0.77,0.81,0.76,0.81,0.82
0.46,0.34,0.41,0.66,0.63,0.47,0.58,0.64,0.67,0.73,0.75
