Country name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Iraq,4.59,4.59,4.78,5.07,4.73,4.66,4.73,4.54,4.49,4.41,4.46
Ireland,7.57,7.57,7.05,7.26,7.01,6.96,6.76,7.02,6.83,7.04,7.06
Israel,6.84,7.26,7.35,7.36,7.43,7.11,7.32,7.4,7.08,7.16,7.33
Italy,6.57,6.78,6.33,6.35,6.06,5.84,6.01,6.03,5.85,5.95,6.2
Japan,6.24,5.91,5.84,6.06,6.26,5.97,5.96,5.92,5.88,5.95,5.91
Jordan,5.6,4.93,6.0,5.57,5.54,5.13,5.17,5.33,5.4,5.27,4.81
Kazakhstan,5.72,5.89,5.38,5.51,5.74,5.76,5.84,5.97,5.95,5.53,5.88
Kenya,4.58,4.02,4.27,4.26,4.41,4.55,3.8,4.9,4.36,4.4,4.48
Kosovo,5.1,5.52,5.89,5.18,4.86,5.64,6.13,5.0,5.08,5.76,6.15
Kuwait,6.59,6.59,6.59,6.8,6.38,6.22,6.48,6.18,6.15,5.95,6.09
Kyrgyzstan,4.7,4.74,5.07,5.0,4.92,5.21,5.4,5.25,4.91,4.86,5.63
Latvia,4.67,5.15,4.67,4.97,4.97,5.13,5.07,5.73,5.88,5.94,5.98
Lebanon,4.59,4.59,5.21,5.03,5.19,4.57,4.98,5.23,5.17,5.27,5.15
Liberia,3.7,4.22,4.2,4.2,4.57,4.57,4.57,4.57,2.7,3.35,4.42
Lithuania,5.81,5.55,5.47,5.07,5.43,5.77,5.6,6.13,5.71,5.87,6.27
Luxembourg,6.96,6.96,6.96,7.1,7.1,6.96,7.13,6.89,6.7,6.97,7.06
Macedonia,4.49,4.43,4.43,4.18,4.9,4.64,5.19,5.2,4.98,5.35,5.23
Madagascar,4.64,4.64,4.38,4.38,4.38,3.55,3.82,3.68,3.59,3.66,4.08
Malawi,4.89,5.15,5.15,3.95,3.95,4.28,4.04,4.56,3.87,3.48,3.42
Malaysia,6.24,5.81,5.38,5.58,5.79,5.91,5.77,5.96,6.32,5.34,5.34
Mali,4.11,4.11,3.98,3.76,4.67,4.31,3.68,3.97,4.58,4.02,4.74
Malta,6.33,6.33,6.33,5.77,6.15,5.96,6.38,6.45,6.61,6.59,6.68
Mauritania,4.15,4.25,4.5,4.77,4.78,4.67,4.2,4.48,3.92,4.47,4.68
Mexico,6.53,6.83,6.96,6.8,6.91,7.32,7.44,6.68,6.24,6.82,6.41
Moldova,4.77,5.5,5.55,5.59,5.79,6.0,5.76,5.92,6.02,5.58,5.33
Mongolia,4.61,4.49,4.59,4.59,5.03,4.89,4.91,4.82,4.98,5.06,5.33
Montenegro,5.2,4.8,4.8,5.46,5.22,5.22,5.07,5.28,5.12,5.3,5.61
Morocco,4.38,4.38,4.38,4.38,5.08,4.97,5.14,5.16,5.16,5.39,5.31
Nepal,4.75,4.44,4.92,4.35,3.81,4.23,4.6,4.98,4.81,5.1,4.74
Netherlands,7.45,7.63,7.5,7.5,7.56,7.47,7.41,7.32,7.32,7.54,7.46
New Zealand,7.6,7.38,7.22,7.22,7.19,7.25,7.28,7.31,7.42,7.23,7.33
Nicaragua,4.94,5.1,5.35,5.69,5.39,5.45,5.77,6.28,5.92,6.01,6.48
Niger,4.28,4.24,4.27,4.1,4.56,3.8,3.72,4.18,3.67,4.23,4.62
Nigeria,4.89,4.94,4.98,4.76,5.49,5.49,4.82,4.93,4.93,5.22,5.32
Pakistan,5.67,4.41,5.21,5.79,5.27,5.13,5.14,5.44,4.82,5.55,5.83
Palestinian Territories,4.15,4.39,4.47,4.7,4.75,4.65,4.84,4.72,4.7,4.91,4.63
Panama,6.89,6.93,7.03,7.32,7.25,6.86,6.87,6.63,6.61,6.12,6.57
Paraguay,5.27,5.57,5.58,5.84,5.68,5.82,5.94,5.12,5.56,5.8,5.71
Peru,5.21,5.13,5.52,5.61,5.89,5.82,5.78,5.87,5.58,5.7,5.71
Philippines,5.07,4.59,4.88,4.94,4.99,5.0,4.98,5.31,5.55,5.43,5.59
Poland,5.89,5.77,5.77,5.89,5.65,5.88,5.75,5.75,6.01,6.16,6.2
Portugal,5.72,5.72,5.09,5.09,5.22,4.99,5.16,5.13,5.08,5.45,5.71
Romania,5.39,5.37,5.37,4.91,5.02,5.17,5.08,5.73,5.78,5.97,6.09
Russia,5.22,5.62,5.16,5.38,5.39,5.62,5.54,6.04,6.0,5.85,5.58
Rwanda,4.36,4.36,4.03,4.1,4.1,3.33,3.47,3.6,3.48,3.33,3.11
Saudi Arabia,7.27,6.81,6.15,6.31,6.7,6.4,6.5,6.28,6.35,6.47,6.29
Senegal,4.68,4.68,4.34,4.37,3.83,3.67,3.65,4.39,4.62,4.59,4.68
Serbia,4.75,4.38,4.38,4.46,4.82,5.15,5.1,5.11,5.32,5.75,5.12
Sierra Leone,3.59,3.0,4.13,4.13,4.5,4.51,4.51,4.5,4.91,4.73,4.09
Singapore,6.83,6.64,6.14,6.53,6.56,6.53,6.53,7.06,6.62,6.03,6.38
Slovakia,6.05,6.05,6.05,6.05,5.95,5.91,5.94,6.14,6.16,5.99,6.37
Slovenia,5.83,5.83,5.83,6.08,6.04,6.06,5.97,5.68,5.74,5.94,6.17
South Africa,5.2,5.35,5.22,4.65,4.93,5.13,3.66,4.83,4.89,4.77,4.51
South Korea,5.77,5.39,5.65,6.12,6.95,6.0,5.96,5.8,5.78,5.97,5.87
Spain,6.99,7.29,6.2,6.19,6.52,6.29,6.15,6.46,6.38,6.32,6.23
Sri Lanka,4.41,4.43,4.21,3.98,4.18,4.22,4.36,4.27,4.61,4.33,4.33
Sweden,7.24,7.52,7.27,7.5,7.38,7.56,7.43,7.24,7.29,7.37,7.29
Taiwan,5.55,5.55,6.23,6.23,6.31,6.13,6.34,6.36,6.45,6.51,6.36
Tajikistan,4.43,5.06,4.58,4.38,4.26,4.5,4.97,4.9,5.12,5.1,5.83
Tanzania,4.32,4.38,3.41,3.23,4.07,4.01,3.85,3.48,3.66,2.9,3.35
Thailand,5.78,5.64,5.48,6.22,6.66,6.3,6.23,6.99,6.2,6.07,5.94
Tunisia,5.03,5.03,5.03,5.13,4.88,4.46,5.25,4.76,5.13,4.52,4.12
Turkey,5.62,5.12,5.21,5.49,5.27,5.31,4.89,5.58,5.51,5.33,5.61
Turkmenistan,6.57,6.57,6.57,5.79,5.79,5.46,5.39,5.79,5.79,5.89,5.23
Uganda,4.46,4.57,4.61,4.19,4.83,4.31,3.71,3.77,4.24,4.23,4.0
Ukraine,5.25,5.17,5.17,5.06,5.08,5.03,4.71,4.3,3.96,4.03,4.31
United Arab Emirates,6.87,6.87,6.87,7.1,7.12,7.22,6.62,6.54,6.57,6.83,7.04
United Kingdom,6.8,6.99,6.91,7.03,6.87,6.88,6.92,6.76,6.52,6.82,7.1
United States,7.51,7.28,7.16,7.16,7.12,7.03,7.25,7.15,6.86,6.8,6.99
Uruguay,5.69,5.66,6.3,6.06,6.55,6.45,6.44,6.56,6.63,6.17,6.34
Uzbekistan,5.31,5.31,5.26,5.1,5.74,6.02,5.94,6.05,5.97,5.89,6.42
Venezuela,6.26,6.26,7.19,7.48,6.58,7.07,6.55,6.14,5.57,4.04,5.07
Vietnam,5.42,5.48,5.3,5.3,5.77,5.53,5.02,5.08,5.08,5.06,5.18
Yemen,4.48,4.81,4.81,4.35,3.75,4.06,4.22,3.97,2.98,3.83,3.25
Zambia,4.0,4.73,5.26,5.0,5.0,5.01,5.24,4.35,4.84,4.35,3.93
Zimbabwe,3.28,3.17,4.06,4.68,4.85,4.96,4.69,4.18,3.7,3.74,3.64
