Country name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Peru,0.93,0.9,0.88,0.88,0.82,0.87,0.87,0.88,0.88,0.87,0.9
Philippines,0.88,0.82,0.8,0.81,0.78,0.77,0.76,0.79,0.76,0.79,0.71
Poland,0.93,0.9,0.9,0.9,0.91,0.89,0.92,0.9,0.81,0.85,0.64
Portugal,0.93,0.93,0.95,0.95,0.96,0.96,0.95,0.94,0.94,0.92,0.88
Romania,0.95,0.97,0.97,0.97,0.96,0.96,0.95,0.96,0.96,0.95,0.93
Russia,0.93,0.92,0.95,0.94,0.94,0.94,0.93,0.87,0.91,0.93,0.86
Rwanda,0.29,0.29,0.41,0.16,0.16,0.08,0.12,0.08,0.09,0.16,0.21
Saudi Arabia,0.0,0.51,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senegal,0.83,0.88,0.92,0.85,0.87,0.85,0.84,0.7,0.77,0.79,0.83
Serbia,0.9,0.96,0.96,0.97,0.98,0.95,0.91,0.91,0.86,0.89,0.85
Sierra Leone,0.83,0.92,0.91,0.91,0.85,0.86,0.86,0.79,0.82,0.86,0.85
Singapore,0.06,0.07,0.04,0.06,0.1,0.24,0.24,0.13,0.1,0.05,0.16
Slovakia,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.93,0.92,0.92
Slovenia,0.8,0.8,0.8,0.84,0.89,0.89,0.92,0.91,0.89,0.84,0.83
South Africa,0.86,0.87,0.9,0.79,0.82,0.84,0.8,0.82,0.85,0.81,0.86
South Korea,0.8,0.77,0.79,0.75,0.83,0.84,0.83,0.83,0.84,0.86,0.85
Spain,0.78,0.68,0.8,0.84,0.85,0.84,0.92,0.85,0.82,0.82,0.79
Sri Lanka,0.85,0.86,0.69,0.77,0.76,0.82,0.84,0.79,0.86,0.84,0.84
Sweden,0.29,0.31,0.29,0.25,0.27,0.25,0.32,0.25,0.23,0.25,0.24
Taiwan,0.78,0.78,0.82,0.82,0.75,0.8,0.84,0.87,0.86,0.81,0.74
Tajikistan,0.66,0.72,0.79,0.68,0.67,0.72,0.76,0.7,0.74,0.63,0.72
Tanzania,0.71,0.93,0.9,0.87,0.82,0.89,0.86,0.88,0.91,0.74,0.65
Thailand,0.9,0.93,0.9,0.92,0.92,0.91,0.93,0.92,0.91,0.88,0.88
Tunisia,0.72,0.72,0.72,0.73,0.91,0.9,0.89,0.78,0.81,0.81,0.87
Turkey,0.8,0.79,0.85,0.81,0.65,0.7,0.7,0.76,0.81,0.76,0.67
Turkmenistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uganda,0.88,0.85,0.84,0.85,0.83,0.84,0.82,0.9,0.87,0.81,0.82
Ukraine,0.97,0.93,0.96,0.95,0.93,0.9,0.94,0.93,0.95,0.89,0.94
United Arab Emirates,0.34,0.34,0.34,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United Kingdom,0.5,0.55,0.56,0.59,0.44,0.43,0.57,0.48,0.46,0.46,0.42
United States,0.63,0.67,0.67,0.69,0.7,0.71,0.75,0.7,0.7,0.74,0.68
Uruguay,0.61,0.6,0.54,0.47,0.56,0.62,0.59,0.53,0.67,0.68,0.63
Uzbekistan,0.0,0.0,0.61,0.52,0.52,0.46,0.43,0.54,0.47,0.0,0.46
Venezuela,0.78,0.78,0.83,0.75,0.77,0.74,0.84,0.83,0.81,0.89,0.84
Vietnam,0.75,0.79,0.84,0.74,0.74,0.81,0.77,0.0,0.0,0.8,0.0
Yemen,0.0,0.83,0.83,0.85,0.75,0.79,0.89,0.89,0.83,0.0,0.0
Zambia,0.95,0.89,0.92,0.88,0.88,0.81,0.73,0.81,0.87,0.77,0.74
Zimbabwe,0.95,0.96,0.93,0.83,0.83,0.86,0.83,0.82,0.81,0.72,0.75
