Country name,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Turkey,0.46,0.42,0.46,0.51,0.45,0.47,0.54,0.65,0.65,0.64,0.64
Turkmenistan,0.0,0.0,0.0,0.0,0.0,0.79,0.7,0.8,0.7,0.75,0.72
Uganda,0.71,0.58,0.76,0.8,0.73,0.65,0.76,0.83,0.76,0.74,0.77
Ukraine,0.49,0.49,0.46,0.48,0.58,0.56,0.57,0.53,0.43,0.5,0.6
United Arab Emirates,0.85,0.85,0.85,0.88,0.89,0.92,0.94,0.0,0.92,0.95,0.96
United Kingdom,0.84,0.76,0.82,0.84,0.9,0.89,0.91,0.86,0.83,0.82,0.81
United States,0.87,0.88,0.83,0.83,0.86,0.82,0.79,0.87,0.85,0.76,0.87
Uruguay,0.79,0.81,0.83,0.83,0.85,0.87,0.89,0.9,0.92,0.89,0.9
Uzbekistan,0.83,0.83,0.0,0.0,0.93,0.91,0.95,0.95,0.98,0.98,0.99
Venezuela,0.68,0.68,0.68,0.77,0.77,0.8,0.64,0.57,0.51,0.46,0.64
Vietnam,0.92,0.89,0.83,0.83,0.82,0.86,0.92,0.0,0.0,0.89,0.0
Yemen,0.67,0.64,0.64,0.66,0.64,0.71,0.54,0.66,0.61,0.53,0.6
Zambia,0.68,0.72,0.7,0.66,0.66,0.79,0.77,0.81,0.76,0.81,0.82
Zimbabwe,0.46,0.34,0.41,0.66,0.63,0.47,0.58,0.64,0.67,0.73,0.75
