Country Name,Country Code,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Costa Rica,CRI,2.0905,2.1577,2.2178,2.3057,2.3721,2.4578,1.1411,2.6434,1.3794,1.3759,2.9533
Cyprus,CYP,2.0147,2.0507,2.1064,2.1562,2.2484,2.296,2.4076,2.4993,2.6236,1.9509,4.0676
Czech Republic,CZE,3.5544,3.5415,3.5032,3.5166,3.5606,3.6502,3.6628,3.9345,3.9516,4.0194,4.0676
Germany,DEU,3.5287,3.5863,3.6638,3.7567,3.8491,3.9197,4.0087,4.0846,4.1342,4.1944,4.2488
Denmark,DNK,3.4527,3.5768,3.6488,3.7211,3.7808,3.8243,3.8335,3.8632,3.9257,4.0099,1.56
Dominican Republic,DOM,2.6039999999999996,1.0979999999999999,1.5983,2.1111,1.5268,3.1396,3.1425,1.138,2.0648,2.0368,1.56
Ecuador,ECU,2.6039999999999996,2.9847,1.5983,2.1111,1.6582,3.1396,3.1425,1.138,2.0648,2.0368,0.7993
Egypt,EGY,2.6039999999999996,2.9847,2.804,2.83,3.0473,3.1396,3.1425,1.138,0.8217,0.8214,0.7993
Spain,ESP,2.8747,2.9847,3.0395,3.0292,3.0473,3.1396,3.1425,3.1657,3.2166,3.8112,3.8723
Estonia,EST,3.2508,3.3348,3.2767,3.2422,3.2929,3.2822,3.3318,3.3564,3.4152,3.4546,3.4629
Finland,FIN,3.0351,3.0618,3.0861,3.2653,3.1221,3.2854,3.2966,3.3922,3.3309,3.8118,3.2565
France,FRA,3.4189,3.4156,3.3693,3.3736,3.1622,3.1745,3.1948,3.2115,3.2239,3.2376,3.2565
Gabon,GAB,2.4844,0.0968,2.6279,2.6265,2.6603,2.6667,2.6774,2.7149,2.7465,0.3561,0.6819
United Kingdom,GBR,2.4844,2.5543,2.6279,2.6265,2.6603,2.6667,2.6774,2.7149,2.7465,2.7563,2.7863
Georgia,GEO,3.9027,4.0001,4.2219,4.4466,4.5004,4.4868,4.5145,4.7754,5.0055,5.9973,6.1297
Ghana,GHA,0.0725,0.0787,0.0841,0.0938,0.0979,0.0956,0.1686,5.2167,0.0855,0.127,0.1359
Guinea,GIN,3.6707,3.7576,3.8709,0.1,4.0414,4.1343,4.2155,5.2167,0.0855,0.0832,5.4789
Greece,GRC,3.6707,3.7576,3.8709,3.9442,4.0414,4.1343,4.2155,5.2167,5.2527,5.4036,5.4789
Guatemala,GTM,2.7047,2.7113,0.9039,0.295,2.8958,2.9731,0.9839,3.1258,3.1728,0.5982,0.3089
Hong Kong S.A.R. of China,HKG,2.7047,2.7113,2.7211,0.295,2.8958,2.9731,0.9839,3.1258,3.1728,0.5982,0.3089
Honduras,HND,2.7047,2.7113,2.7211,0.295,2.8958,2.9731,0.9839,3.1258,3.1728,0.5982,0.3089
Croatia,HRV,2.7047,2.7113,2.7211,2.8428,2.8958,2.9731,3.0178,3.1258,3.1728,2.9996,3.3447
Haiti,HTI,2.8121,3.1049,3.0399,2.8896,0.1378,3.1062,3.2284,3.3443,0.0852,3.2313,3.3447
Hungary,HUN,2.8121,3.1049,3.0399,2.8896,2.9811,3.1062,3.2284,3.3443,3.1178,3.2313,3.3447
Indonesia,IDN,0.28800000000000003,0.6136,0.1448,0.1395,0.7376,0.3075,0.3118,0.7247,0.2738,0.759,0.3767
India,IND,0.5984,0.6136,0.622,0.6616,0.7376,0.6982,0.7182,0.7247,3.1498,0.759,0.7779
Ireland,IRL,3.8986,4.0144,4.0388,4.1326,4.0938,3.9423,3.9314,3.0292,3.1498,3.2323,3.2946
Iran,IRN,0.528,3.5637,3.543,0.89,3.5177,3.5075,3.4866,1.5044,1.1526,0.8536,1.1292
Iraq,IRQ,0.528,3.5637,3.543,0.6636,3.5177,3.5075,3.4866,1.0364,3.4618,0.8536,0.8375
Israel,ISR,3.6293,3.5637,3.543,3.5191,3.5177,3.5075,3.4866,3.4669,3.4618,3.4632,3.4783
Italy,ITA,3.7751,3.7806,3.7898,3.8160000000000003,3.8846,3.8514,3.9044,3.9048,3.8479,3.9504,3.9805
Jordan,JOR,2.4426,2.2231,2.1287,2.2326,3.9483,2.274,2.1947,2.2038,2.8078,1.3954,2.3237
Japan,JPN,3.6547,2.1394,3.7808,2.2059,3.9483,2.274,3.9508,2.3413,2.2494,2.4115,2.3608
Kazakhstan,KAZ,3.6547,3.7161,3.7808,3.9278,3.9483,3.9108,3.9508,3.98,2.2494,2.3037,2.3608
Kenya,KEN,2.358,0.1664,0.1686,0.1696,0.1748,0.1825,0.1907,0.1959,2.2494,2.3037,2.3608
Kyrgyzstan,KGZ,2.358,2.3528,2.3409,2.3394,2.286,2.2623,2.2614,2.213,2.2494,2.3037,2.3608
Cambodia,KHM,1.8655,0.2444,0.2378,0.2302,0.2263,0.1651,0.4758,0.1927,2.2494,2.3037,2.3608
South Korea,KOR,1.8655,1.8407,1.9185,1.9839,2.0361,2.0798,2.1632,2.207,2.2494,2.3037,2.3608
Kuwait,KWT,1.8814,1.8806,1.8929,2.4296,2.456,2.4662,2.5332,2.6522,2.6463,2.0115,2.0255
Lebanon,LBN,2.3464,0.0141,0.024,2.3385,2.6201,0.7645,2.2486,2.0735,2.103,2.0115,2.0255
Liberia,LBR,0.5555,0.0141,0.024,0.0231,0.7391,0.7645,0.7983,0.8364,0.0376,0.8925,0.9277
Sri Lanka,LKA,0.5555,0.6244,0.6826,0.7239,0.7391,0.7645,0.7983,0.8364,0.8624,0.8925,0.9277
Lithuania,LTU,3.4535,3.4530000000000003,3.4323,3.4144,4.0238,4.1384,4.2042,4.2507,4.2993,4.7346,4.8257
Luxembourg,LUX,2.7227,2.7359,2.717,2.7683,2.7614,2.8047,2.8327,2.8891,2.9222,2.9052,3.009
Latvia,LVA,3.1464,3.2424,3.1485,3.0757,3.0837,3.0913,3.1408,3.1724,3.1656,3.1885,3.1905
Morocco,MAR,0.5862,2.3545,0.6477,0.62,2.4142,2.4135,0.632,0.9135,2.4836,2.3244,0.7308
Moldova,MDA,2.3871,2.3545,2.3912,2.3808,2.4142,2.4135,2.5028,2.4746,2.4836,2.3244,3.2066
Madagascar,MDG,0.1813,0.18600000000000003,0.1813,0.1953,0.14400000000000002,0.1427,0.1534,0.1812,2.3246,2.3244,2.3827
Mexico,MEX,1.9215,1.9494,1.979,2.2362,2.1004,2.1118,2.1568,2.207,2.3246,2.3244,2.3827
Macedonia,MKD,2.4459999999999997,2.5947,2.5926,2.6759,2.7257,2.7744,2.7956,2.6592,2.8736,0.1395,0.1847
Mali,MLI,0.0776,0.049,0.0923,0.1021,0.1037,0.1071,2.4595,2.6592,2.8598,0.1395,0.1847
Malta,MLT,3.3510000000000004,3.3553,1.9169,2.153,2.2384,2.3566,2.4595,2.6592,2.8598,2.8592,0.1847
Montenegro,MNE,1.99,2.1117,2.1031,2.0439,2.0134,2.0387,2.1523,2.1861,2.3764,2.8592,0.1847
Mongolia,MNG,0.3784,2.8816,2.6704,2.7564,2.8671,3.0435,3.0922,3.1632,3.2194,2.8592,0.1847
Mauritania,MRT,0.3784,0.0187,0.1311,0.1565,1.2777,1.3319999999999999,0.068,0.1582,0.171,0.0165,0.1847
Malawi,MWI,0.3784,0.0187,0.0188,0.019,1.2777,1.3319999999999999,0.0511,0.0272,1.5358,0.0165,0.9895
Malaysia,MYS,0.3784,0.9216,0.0277,1.1691,1.2777,1.3319999999999999,0.0511,0.0272,1.5358,0.0433,0.9895
Niger,NER,0.3784,0.0189,0.0277,0.019,0.8137,0.8605,0.0511,0.0272,0.0472,0.0433,0.9895
Nigeria,NGA,0.3784,0.3762,0.3782,0.1836,0.8137,0.8605,0.3828,0.8946,0.9312,0.4494,0.9895
Nicaragua,NIC,0.5265,0.6486,0.7032,0.7278,0.8137,0.8605,0.8981,0.8946,0.9312,0.9537,0.9895
Netherlands,NLD,2.7724,2.8489999999999998,2.9057,2.9516,3.1243,3.2463,3.3058,3.3468,3.4917,3.5469999999999997,3.6054
Nepal,NPL,2.91,2.9793,3.0477,3.0658,3.1731,0.5159,0.564,0.5951,3.2961,3.3833,0.9101
New Zealand,NZL,2.91,2.9793,3.0477,3.0658,3.1731,3.1957,3.2303,3.2374,3.2961,3.3833,3.4728
Pakistan,PAK,0.7619,0.7806,0.7951,0.8076,0.8311,0.8590000000000001,0.8771,0.8972,0.9262,0.9620000000000001,1.0005
Panama,PAN,1.3032,1.3808,1.3092,1.4058,1.4976,1.5979,1.5821,2.302,2.3252,1.5687,0.6004
Peru,PER,1.6648,1.2558,0.9472,0.92,2.1997,1.1411,2.234,2.302,2.3252,1.3048,0.6004
Philippines,PHL,1.2441,1.2558,1.2632,1.2717,2.1997,2.2242,2.234,2.302,2.3252,2.4146,0.6004
Poland,POL,2.1776,2.1482,2.1593,2.1707,2.1997,2.2242,2.234,2.302,2.3252,2.4146,2.3788
Portugal,PRT,3.6483,3.7405,3.8479,3.9756,4.1178,4.2361,4.3932,4.5567,4.7487,4.9397,5.124
Paraguay,PRY,2.2915,2.4133,2.4414,2.4804,2.5153,1.2774,2.6239999999999997,4.0114,3.7494,2.2565,0.2399
Romania,ROU,2.2915,2.4133,2.4414,2.4804,2.5153,2.5887,2.6239999999999997,4.0114,3.7494,2.2565,2.9807
Russia,RUS,2.3841,2.3812,2.3924,2.3930000000000002,6.6305,4.1303,4.0705,4.0114,3.7494,4.0139,0.1371
Rwanda,RWA,1.6219999999999999,0.052000000000000005,0.055,0.055,0.0129,2.4530000000000003,0.1021,0.0909,0.1129,0.1226,0.1371
Saudi Arabia,SAU,1.6219999999999999,2.0626,2.076,2.4074,2.4607,2.4530000000000003,0.3179,2.5654,0.2074,2.3776,2.5366
Senegal,SEN,1.6127,0.0617,1.6758,0.059000000000000004,1.7232,1.7964,0.3179,2.0125,0.2074,0.0711,0.0691
Singapore,SGP,1.6127,1.6418,1.6758,1.7187,1.7232,1.7964,1.8958,2.0125,2.4603,2.2936,3.4156
Sierra Leone,SLE,2.3447,0.0155,2.4467,0.0212,0.0251,2.4961,2.4945,2.4611,2.4603,1.5662,3.4156
El Salvador,SLV,2.3447,1.8823,2.4467,1.5959999999999999,2.5003,2.4961,2.4945,2.4611,2.4603,1.5662,3.4156
Serbia,SRB,2.3447,2.4215,2.4467,2.4819999999999998,2.5003,2.4961,2.4945,2.4611,2.4603,3.1131,3.4156
Slovakia,SVK,3.3747,3.3561,3.2953,3.3510000000000004,3.2999,3.3598,3.3855,3.4214,3.4438,3.4664,3.4156
Slovenia,SVN,2.3925,2.3994,2.4167,2.4367,2.4965,2.5406,2.6252,2.7628,2.8148,3.0007,3.0861
Sweden,SWE,3.676,3.7353,3.8065,3.8779,3.9569,4.0368,4.1259,4.2037,4.2856,3.984,0.0434
Chad,TCD,0.2959,0.3164,0.3387,0.3906,1.7209,0.0413,0.0433,0.0445,0.0493,0.0471,0.0434
Thailand,THA,0.2959,0.3164,0.3387,0.3906,1.7209,2.877,2.8691,2.1026,0.4651,0.445,0.8075
Tajikistan,TJK,1.8962,1.9292,1.6439,1.6975,1.7209,2.877,2.8691,2.1026,1.3108,1.2834,1.3025
Turkmenistan,TKM,2.3414,2.3026,2.2911,2.2743,2.2841,2.2375,2.2125,2.2247,1.3108,1.2834,1.3025
Tunisia,TUN,1.0242,1.1074,1.6635,1.222,1.716,1.7384,1.7619,1.2769,1.3108,1.2834,1.3025
Turkey,TUR,1.5579,1.6068,1.6635,1.7068,1.716,1.7384,1.7619,1.756,1.7988,1.8142,1.8492
Tanzania,TZA,3.0885,3.1177,3.4904,0.008,3.4842,0.0315,3.4965,0.0603,0.0954,0.013999999999999999,0.168
Uganda,UGA,3.0885,3.1177,3.4904,0.11699999999999999,3.4842,0.0975,3.4965,2.9923,0.0954,3.9558,0.168
Ukraine,UKR,3.0885,3.1177,3.4904,3.483,3.4842,3.491,3.4965,2.9923,2.5781,3.9558,5.0794
Uruguay,URY,4.181,3.951,2.4471,3.736,2.4641,2.4985,2.5596,2.574,2.5781,3.9558,5.0794
United States,USA,2.4358,2.4412,2.4471,2.4354,2.4641,2.4985,2.5596,2.574,2.5781,2.5881,2.612
Uzbekistan,UZB,2.6329,2.6048,2.5706,2.5432,2.5036,2.4451,2.4044,2.3742,0.7963,0.8281,0.9054
Venezuela,VEN,0.6415,0.6648,0.6982,0.71,1.1520000000000001,0.8209,1.18,0.7829999999999999,0.7963,0.8281,0.9054
Vietnam,VNM,0.6415,0.6648,0.6982,0.71,1.1520000000000001,0.8209,1.18,0.7829999999999999,0.7963,0.8281,0.9054
Kosovo,XKX,0.6988,0.3156,0.3165,0.7341,0.7179,0.7254,0.7422,0.5251,0.7814,0.7997,0.9054
Yemen,YEM,0.6988,0.3156,0.3165,0.7341,0.7179,0.7254,0.7422,0.5251,0.7814,0.7997,0.9054
South Africa,ZAF,0.6988,0.6968,0.7074,0.7341,0.7179,0.7254,0.7422,0.7541,0.7814,0.7997,0.9054
Zambia,ZMB,0.0544,0.0619,0.0606,0.0614,0.1649,0.1658,0.0834,0.124,0.1815,0.1628,0.1859
Zimbabwe,ZWE,0.0544,0.0596,0.121,0.1272,0.0817,0.0807,0.0834,0.124,0.1815,0.1788,0.1859
Palestinian Territories,ZWE,0.0544,0.0596,0.121,0.1272,0.0817,0.0807,0.0834,0.124,0.1815,0.1788,0.1859
Taiwan,ZWE,0.0544,0.0596,0.121,0.1272,0.0817,0.0807,0.0834,0.124,0.1815,0.1788,0.1859
