Country name,Code,year,Happiness Index,Log GDP,Social support,Healthy life exp,Freedom,Generosity,Pct corruption,Blue Index,Suicide,Depression & Anxiety,Substance Abuse,Physician perpop,Average Age,Sleep (min)
Hungary,HUN,2017,6.07,10.2,0.88,67.2,0.66,-0.14,0.89,11.789001141857668,20.82,4176.0,20.82,3.3447,27.9,
India,IND,2017,4.05,8.78,0.61,59.7,0.89,-0.05,0.78,11.1217520926,15.27,3996.0,15.27,0.3767,30.2,405.0
Indonesia,IDN,2017,5.1,9.32,0.8,61.9,0.87,0.48,0.9,18.577877746174,3.07,2356.0,3.07,0.7779,30.3,410.0
Iran,IRN,2017,4.72,9.86,0.71,65.7,0.73,0.19,0.71,19.552593629336666,5.81,7231.0,5.81,3.2946,20.0,
Iraq,IRQ,2017,4.46,9.67,0.7,59.6,0.63,-0.03,0.76,10.632434697028332,3.49,4460.0,3.49,1.1292,36.8,
Ireland,IRL,2017,7.06,11.1,0.94,72.2,0.91,0.22,0.34,21.10090019449,9.32,4732.0,9.32,0.8375,29.9,
Israel,ISR,2017,7.33,10.41,0.92,73.1,0.77,0.15,0.79,10.772713778273001,6.06,3946.0,6.06,3.4783,45.5,413.0
Italy,ITA,2017,6.2,10.47,0.92,73.4,0.63,-0.03,0.87,19.980750932288,7.16,4359.0,7.16,3.9805,47.3,429.0
Japan,JPN,2017,5.91,10.57,0.88,74.9,0.85,-0.21,0.66,35.093096877113325,22.45,4086.0,22.45,2.3237,22.5,377.0
Jordan,JOR,2017,4.81,9.02,0.81,66.6,0.77,-0.15,,10.707539751873,2.86,4321.0,2.86,2.3608,30.6,
Kazakhstan,KAZ,2017,5.88,10.09,0.91,64.0,0.75,-0.04,0.76,33.213358914108326,23.81,3922.0,23.81,2.3608,19.7,
Kenya,KEN,2017,4.48,7.99,0.71,59.5,0.85,0.25,0.85,19.44757091196767,6.33,3416.0,6.33,2.3608,41.8,
Kosovo,KXK,2017,6.15,9.19,0.79,,0.86,0.12,0.93,32.621790899877325,,,,2.3608,29.1,
Kuwait,KWT,2017,6.09,11.1,0.85,66.5,0.88,-0.03,,34.815672860176676,3.05,5072.0,3.05,2.3608,29.3,
Kyrgyzstan,KGZ,2017,5.63,8.13,0.88,63.8,0.86,0.17,0.87,19.63361777317633,9.33,3092.0,9.33,2.3608,26.5,
Latvia,LVA,2017,5.98,10.13,0.9,66.5,0.7,-0.15,0.8,19.58550681178,22.51,4602.0,22.51,2.0255,43.6,
Lebanon,LBN,2017,5.15,9.36,0.78,66.6,0.6,-0.06,0.91,30.275829743311,4.77,4718.0,4.77,2.0255,30.5,
Liberia,LBR,2017,4.42,7.07,0.68,55.3,0.73,0.0,0.87,13.309104115745,7.19,3681.0,7.19,0.9277,17.8,
Lithuania,LTU,2017,6.27,10.3,0.93,66.7,0.75,-0.17,0.79,11.000432303375336,36.27,5654.0,36.27,0.9277,43.7,439.0
Luxembourg,LUX,2017,7.06,11.44,0.91,72.6,0.9,0.05,0.33,117.13028160896002,11.67,4219.0,11.67,4.8257,39.3,441.0
Macedonia,MKD,2017,5.23,9.48,0.8,67.3,0.75,-0.05,0.86,11.896419066043,8.8,3192.0,8.8,3.009,37.9,
Madagascar,MDG,2017,4.08,7.26,0.63,58.7,0.57,-0.03,0.85,41.948565139559996,6.09,3528.0,6.09,3.1905,19.7,
Malawi,MWI,2017,3.42,7.05,0.56,56.9,0.85,0.01,0.73,12.26697193087,6.91,3241.0,6.91,0.7308,16.5,
Malaysia,MYS,2017,5.34,10.25,0.79,67.0,0.87,0.12,0.89,13.222156003918998,7.44,3488.0,7.44,3.2066,28.5,398.0
Mali,MLI,2017,4.74,7.61,0.74,51.2,0.75,-0.07,0.86,15.790106993339664,3.58,2591.0,3.58,2.3827,15.8,
Malta,MLT,2017,6.68,10.52,0.94,72.2,0.92,0.25,0.69,52.34867765626666,6.13,3772.0,6.13,2.3827,41.8,
Mauritania,MRT,2017,4.68,8.22,0.78,56.7,0.53,-0.14,0.78,14.926929050937668,4.03,2887.0,4.03,0.1847,20.5,
Mexico,MEX,2017,6.41,9.8,0.8,68.0,0.86,-0.2,0.8,8.094744735486335,6.03,3240.0,6.03,0.1847,28.3,413.0
Moldova,MDA,2017,5.33,8.74,0.83,64.3,0.55,-0.02,0.93,42.720601493056655,17.45,4270.0,17.45,0.1847,36.7,
Mongolia,MNG,2017,5.33,9.36,0.92,62.1,0.67,0.11,0.86,24.373732723963,16.14,3807.0,16.14,0.1847,28.3,
Montenegro,MNE,2017,5.61,9.71,0.88,68.3,0.63,-0.08,0.76,31.385388404672,12.24,3503.0,12.24,0.1847,40.7,
Morocco,MAR,2017,5.31,8.92,0.64,65.6,0.81,-0.22,0.84,6.504327939252,7.25,7201.0,7.25,0.1847,29.3,435.0
Nepal,NPL,2017,4.74,7.87,0.82,62.4,0.85,0.14,0.77,13.224531293419332,7.83,3937.0,7.83,0.9895,24.1,
Netherlands,NLD,2017,7.46,10.8,0.94,72.2,0.92,0.25,0.36,7.881803205633334,12.13,4508.0,12.13,0.9895,42.6,457.0
New Zealand,NZL,2017,7.33,10.49,0.95,73.0,0.94,0.3,0.22,19.684108538311666,12.07,4261.0,12.07,0.9895,37.9,458.0
Nicaragua,NIC,2017,6.48,8.55,0.84,67.2,0.92,0.01,0.67,12.836453974610665,5.82,3300.0,5.82,0.9895,25.7,
Niger,NER,2017,4.62,6.83,0.58,53.0,0.68,-0.02,0.78,15.133630688729331,3.52,2830.0,3.52,0.9895,15.4,
Nigeria,NGA,2017,5.32,8.59,0.73,49.3,0.83,0.12,0.83,8.565591686812331,3.92,3600.0,3.92,3.6054,18.4,
Pakistan,PAK,2017,5.83,8.47,0.69,58.1,0.71,0.04,0.71,45.65999083435368,4.24,3293.0,4.24,0.9101,23.8,
Palestinian Territories,PS,2017,4.63,8.39,0.82,,0.63,-0.16,0.83,6.596863836469001,2.99,5386.0,2.99,3.4728,29.2,
Panama,PAN,2017,6.57,10.01,0.91,69.5,0.9,-0.16,0.84,48.79607252358,5.07,3267.0,5.07,1.0005,28.2,
Paraguay,PRY,2017,5.71,9.38,0.9,65.5,0.89,0.0,0.81,13.353452132606002,5.66,3635.0,5.66,0.6004,28.0,
Peru,PER,2017,5.71,9.43,0.83,67.8,0.83,-0.16,0.9,50.87542504337633,3.11,2666.0,3.11,0.6004,23.5,403.0
Philippines,PHL,2017,5.59,8.93,0.85,61.8,0.93,-0.14,0.71,7.192236077346666,5.38,2362.0,5.38,0.6004,40.7,396.0
Poland,POL,2017,6.2,10.22,0.88,68.9,0.83,-0.12,0.64,19.524625403066665,17.66,3017.0,17.66,2.3788,42.2,424.0
Portugal,PRT,2017,5.71,10.24,0.9,72.2,0.91,-0.17,0.88,15.96895462587067,12.72,5281.0,12.72,5.124,41.1,
Romania,ROU,2017,6.09,10.06,0.81,66.9,0.84,-0.16,0.93,46.545083788406664,12.17,3443.0,12.17,0.2399,39.6,430.0
Russia,RUS,2017,5.58,10.12,0.9,63.9,0.73,-0.15,0.86,10.533052773538001,30.03,4599.0,30.03,2.9807,19.0,426.0
Rwanda,RWA,2017,3.11,7.55,0.52,60.5,0.91,0.05,0.21,54.067440943359344,6.19,3796.0,6.19,0.1371,27.5,
Saudi Arabia,SAU,2017,6.29,10.8,0.84,66.0,0.81,-0.14,,15.09568440251567,3.14,4923.0,3.14,0.1371,18.8,386.0
Senegal,SEN,2017,4.68,8.08,0.74,59.2,0.69,-0.05,0.83,17.801237930955327,7.57,3166.0,7.57,2.5366,42.6,
Serbia,SRB,2017,5.12,9.63,0.88,67.8,0.68,-0.08,0.85,74.32852102808667,18.04,3696.0,18.04,0.0691,19.0,
Sierra Leone,SLE,2017,4.09,7.25,0.65,49.2,0.71,0.09,0.85,24.216535299826997,5.79,3426.0,5.79,3.4156,34.6,
Singapore,SGP,2017,6.38,11.38,0.9,76.5,0.93,0.13,0.16,18.401959574686668,8.91,3888.0,8.91,3.4156,40.5,409.0
Slovakia,SVK,2017,6.37,10.31,0.91,68.6,0.71,-0.06,0.92,12.924672585728333,12.45,3318.0,12.45,3.4156,44.5,426.0
Slovenia,SVN,2017,6.17,10.35,0.93,70.8,0.92,-0.02,0.83,14.501663767526331,20.79,4244.0,20.79,3.4156,27.1,
South Africa,ZAF,2017,4.51,9.41,0.87,56.1,0.79,-0.13,0.86,15.525358462631335,11.32,4526.0,11.32,3.4156,42.7,437.0
South Korea,KOR,2017,5.87,10.49,0.81,73.3,0.54,0.01,0.85,7.178589038215,28.91,4099.0,28.91,3.0861,32.8,384.0
Spain,ESP,2017,6.23,10.44,0.9,74.1,0.76,-0.03,0.79,7.578362630059334,8.07,4403.0,8.07,0.0434,41.2,433.0
Sri Lanka,LKA,2017,4.33,9.37,0.82,67.0,0.83,0.09,0.84,12.993129000255331,20.95,3474.0,20.95,0.0434,40.7,
Sweden,SWE,2017,7.29,10.75,0.91,72.5,0.93,0.17,0.24,42.770162490476665,13.89,5440.0,13.89,0.8075,24.5,447.0
Taiwan,TWN,2017,6.36,10.78,0.89,,0.76,-0.07,0.74,8.568026471251335,18.47,3200.0,18.47,1.3025,17.7,407.0
Tajikistan,TJK,2017,5.83,7.98,0.66,63.8,0.83,0.12,0.72,19.323170331604327,5.25,2381.0,5.25,1.3025,37.7,
Tanzania,TZA,2017,3.35,7.94,0.71,57.0,0.8,0.1,0.65,12.812731597916667,4.88,3516.0,4.88,1.3025,31.6,
Thailand,THA,2017,5.94,9.7,0.88,67.0,0.92,0.21,0.88,36.35332012453,12.42,3321.0,12.42,1.8492,30.9,417.0
Tunisia,TUN,2017,4.12,9.3,0.72,66.6,0.48,-0.23,0.87,33.464503733936674,3.29,5226.0,3.29,0.168,27.9,
Turkey,TUR,2017,5.61,10.13,0.88,66.4,0.64,-0.24,0.67,25.34398814571333,3.55,4636.0,3.55,0.168,15.8,408.0
Turkmenistan,TKM,2017,5.23,9.7,0.91,61.8,0.72,0.05,,16.08587824341,8.8,2863.0,8.8,5.0794,40.6,
Uganda,UGA,2017,4.0,7.48,0.74,55.3,0.77,0.07,0.82,18.893839215088,5.19,4501.0,5.19,5.0794,30.3,
Ukraine,UKR,2017,4.31,8.98,0.86,64.3,0.6,0.02,0.94,10.38616900256,30.61,5517.0,30.61,2.612,40.5,431.0
United Arab Emirates,ARE,2017,7.04,11.11,0.84,66.9,0.96,0.21,,20.468645463144668,6.15,4449.0,6.15,0.9054,38.1,
United Kingdom,GBR,2017,7.1,10.59,0.94,72.1,0.81,0.29,0.42,16.544050232234333,8.67,4785.0,8.67,0.9054,35.0,
United States,USA,2017,6.99,10.91,0.92,68.4,0.87,0.19,0.68,25.146968955929665,15.02,5366.0,15.02,0.9054,28.6,438.0
Uruguay,URY,2017,6.34,9.94,0.91,68.9,0.9,-0.1,0.63,25.154833543281665,19.77,4102.0,19.77,0.9054,28.3,
Uzbekistan,UZB,2017,6.42,8.71,0.94,64.8,0.99,0.12,0.46,12.434029177706664,9.42,2971.0,9.42,0.9054,30.5,
Venezuela,VEN,2017,5.07,8.98,0.9,66.3,0.64,-0.17,0.84,7.508664867208668,9.03,3511.0,9.03,0.9054,19.5,
Vietnam,VNM,2017,5.18,8.74,,67.7,,0.0,,8.523976031926331,7.76,2566.0,7.76,0.1859,16.8,409.0
Yemen,YEM,2017,3.25,7.79,0.79,55.9,0.6,-0.17,,26.456979772907328,4.83,4477.0,4.83,0.1859,20.0,
Zambia,ZMB,2017,3.93,8.22,0.74,54.8,0.82,0.13,0.74,26.054223631317328,6.69,3367.0,6.69,0.1859,,
Zimbabwe,ZWE,2017,3.64,7.85,0.75,55.0,0.75,-0.09,0.75,23.116001872043327,17.99,2944.0,17.99,0.1859,,
