Country,Code,Year,Happiness Index,Log GDP per capita,Social Support,Life expectancy,Freedom,Generosity,Perceptions of corruption,GINI of household,Poverty percent of population,Public spending on education,Literacy rate,Tourist arrivals,Int tourism revenue,Fragile state index,Security threats index,Brain drain index,Unemployment rate
Ecuador,ECU,2017,5.839518547,9.254712105,0.848941743,68.19999695,0.879128158,-0.167000413,0.733588755,0.41333431,21.5,,92.83,1806,1554,77.3,6.8,5.8,3.84
Egypt,EGY,2017,3.929344177,9.275453568,0.63822639,61.40000153,0.592504799,-0.157634318,0,0.38081485,32.5,,71.17,8157,8636,89.8,8.1,4.7,11.74
El Salvador,SLV,2017,6.339318275,8.888309479,0.82895261,65.80000305,0.757827342,-0.1679039,0.777748585,0.402195245,29.2,15.59,88.48,1556,1227,73.1,7.3,7.9,4.39
Estonia,EST,2017,5.938395977,10.30616093,0.93568635,68.40000153,0.861749232,-0.100757562,0.668402255,0.396599621,,,,3244,2126,44.7,3.3,4,5.76
Ethiopia,ETH,2017,4.180315495,7.452682495,0.73353976,58,0.717101216,0.007632628,0.75689894,0.420267493,,,51.77,933,2505,11.1,8.4,7.6,2.12
Finland,FIN,2017,7.788251877,10.62556744,0.963826418,71.80000305,0.962198973,-0.001271056,0.192412779,0.425614446,,,,3180,5207,18.7,1.7,2.3,8.64
France,FRA,2017,6.635222435,10.57018375,0.931494594,73.59999847,0.83389014,-0.122650564,0.601486027,0.372855246,,,,86758,67936,33.5,3.3,2.2,9.4
Gabon,GAB,2017,4.782382965,9.689361572,0.806941152,59.20000076,0.652359545,-0.241333693,0.868305504,0.58923018,33.4,,,,,73.8,5.2,6.1,19.98
Gambia,GMB,2017,4.117938995,7.289839745,0.697001517,54.70000076,0.812325835,0.130716294,0.571615577,0.562509775,,,,522,116,89.4,6.3,8.3,9.14
Georgia,GEO,2017,4.45077467,9.180104256,0.590495169,64.69999695,0.820908785,-0.227239609,0.589631975,0.454276502,21.9,12.95,99.36,4069,2971,76.5,6.8,4.9,13.94
Germany,DEU,2017,7.074324608,10.72463226,0.892166078,71.90000153,0.840727866,0.146665469,0.414021194,0.319597334,,,,37452,56330,28.1,2.1,2.1,3.75
Ghana,GHA,2017,5.481310844,8.306833267,0.669111073,56.79999924,0.783046365,0.087422267,0.838609993,0.50120151,,20.1,,,919,69.7,3.8,8.2,4.22
Greece,GRC,2017,5.14824152,10.11056995,0.752899528,72.19999695,0.438300014,-0.286724925,0.87223947,0.346705943,,,,27194,19139,57.5,4.5,3.3,21.49
Guatemala,GTM,2017,6.325118542,8.912361145,0.826492071,64.5,0.914521694,-0.05746248,0.799747884,0.495318562,,23.09,,1660,1571,83.1,7.6,7.3,2.46
Guinea,GIN,2017,4.873722553,7.7023139,0.634025574,53.29999924,0.738212824,0.038754288,0.750026226,0.618353307,,13.38,,99,17,12.4,8.8,7.4,4.32
Haiti,HTI,2017,3.823865652,7.410347939,0.646984994,55.5,0.484429151,0.380552381,0.647191584,0.574473023,,15.37,,467,460,15.3,7.7,8.8,13.73
Honduras,HND,2017,6.019985676,8.404919624,0.84335494,67,0.898377419,0.081371829,0.783429444,0.561559021,49.8,,,851,722,79.1,7.3,6.4,5.53
Hong Kong S.A.R. of China,HKG,2017,5.362474918,10.9346714,0.83106631,0,0.830657244,0.134979904,0.415810198,0.471278399,,17.84,,27884,38170,,,,3.09
Hungary,HUN,2017,6.065038681,10.1984148,0.876747549,67.19999695,0.661165953,-0.141303271,0.886361301,0.330753207,,,,15785,8448,52,2.7,3.3,4.16
Iceland,ISL,2017,7.476213932,10.77560711,0.966752827,73,0.938783288,0.246944219,0.726845384,0.332437903,,,,2225,3024,22.5,1,2.8,2.74
India,IND,2017,4.046111107,8.782042503,0.606767476,59.70000076,0.88585043,-0.052417535,0.780802786,0.380112171,,,,15543,27878,77.9,7.4,6.1,5.42
Indonesia,IDN,2017,5.098401546,9.3201828,0.795589209,61.90000153,0.865026295,0.478830993,0.900416434,0.449708253,10.6,,,14040,14691,72.9,6.2,6.9,4.18
Iran,IRN,2017,4.716783047,9.857336998,0.714232922,65.69999695,0.730635166,0.19069846,0.714941323,0.852039635,,20.04,,4867,4632,85.8,7.5,6.5,12.1
Iraq,IRQ,2017,4.462399006,9.669635773,0.695109367,59.59999847,0.627722025,-0.034693584,0.757108808,0.55036813,,,85.6,,2959,15.4,1,7.7,13.02
Ireland,IRL,2017,7.060155392,11.09941006,0.943481982,72.19999695,0.905341148,0.218438104,0.33708474,0.367454171,,,,10338,14294,22.3,2.1,2.8,6.71
Israel,ISR,2017,7.331036091,10.4109211,0.916440845,73.09999847,0.768076301,0.147691473,0.792652249,0.245601237,,,,3613,7578,78.9,6.9,3.8,4.22
Italy,ITA,2017,6.198870182,10.47370911,0.919791222,73.40000153,0.632843256,-0.032273058,0.866667926,0.346708387,,,,58253,46719,45.2,4.5,2,11.21
Ivory Coast,CIV,2017,5.037734985,8.178806305,0.661375344,48.90000153,0.732097924,-0.094926812,0.770940244,0.557953954,,20.68,,1800,508,96.5,7.7,7.3,3.27
Jamaica,JAM,2017,5.889759064,9.006250381,0.91302985,67.09999847,0.860676348,-0.125106767,0.882796168,0.56453526,,18.4,,2353,2809,65.2,6.9,8.4,11.63
Japan,JPN,2017,5.910676479,10.56893921,0.881961286,74.90000153,0.849396586,-0.211699128,0.659198642,0.42615369,,,,28691,36978,37.4,1.6,3.2,2.8
Jordan,JOR,2017,4.808082581,9.023835182,0.814664543,66.59999847,0.766262472,-0.147116333,0,0.363606215,,12.07,,3844,5549,78.7,5.7,4.2,15.11
Kazakhstan,KAZ,2017,5.882351398,10.08907604,0.914093196,64,0.745243967,-0.041141793,0.755250692,0.337242872,2.5,11.42,,7701,2356,65.9,5.2,3.6,4.9
Kenya,KEN,2017,4.475654125,7.993438244,0.714604318,59.5,0.853394389,0.250859559,0.85400039,0.521331966,,17.71,,1364,1564,96.4,8.3,7.6,2.69
Kuwait,KWT,2017,6.093905449,11.0975399,0.853491306,66.5,0.884181619,-0.033222608,0,0.591861427,,,96.04,7407,643,58.5,4.2,3.6,1.8
Kyrgyzstan,KGZ,2017,5.629536629,8.129652023,0.882586658,63.79999924,0.859389782,0.165330306,0.874494493,0.382150888,25.6,15.73,,421,480,8.3,6.5,7,6.89
Laos,LAO,2017,4.623140812,8.74951458,0.70733577,58.29999924,0.891000748,0.076293379,0.591616809,0.585087001,,,,3257,655,82.4,5.5,7.7,0.66
Latvia,LVA,2017,5.977817535,10.12782288,0.895098746,66.5,0.699520111,-0.153873712,0.79837811,0.36218524,,,,1949,951,46.4,3,4.8,8.72
Lebanon,LBN,2017,5.153989792,9.362805367,0.776583016,66.59999847,0.604554176,-0.05914662,0.910727262,0.326644003,,,,1857,8086,88.2,8.7,5,6.22
Lesotho,LSO,2017,3.795300722,7.953630924,0.768551648,47.29999924,0.756505191,-0.152229309,0.796859443,0.59147799,49.7,15.12,,1137,23,81.7,6.2,8,24.13
Liberia,LBR,2017,4.424490929,7.069563866,0.684866846,55.29999924,0.733389914,0.001455313,0.866806388,0.590849876,,8.26,48.3,,,93.8,6.4,7.2,3
Lithuania,LTU,2017,6.272940636,10.29566002,0.926316619,66.69999695,0.749307334,-0.172929406,0.789709866,0.428504139,,,,2523,1325,41.7,3.1,4.4,7.07
Luxembourg,LUX,2017,7.061380863,11.44144821,0.905435503,72.59999847,0.90282172,0.047431041,0.330173582,0.292349696,,,,1046,4993,23.4,1.7,2.1,5.52
Macedonia,MKD,2017,5.233866692,9.483383179,0.79995513,67.30000305,0.752106607,-0.054678056,0.855697274,0.371204376,22.2,,,631,331,66.1,5.6,5.2,22.38
Madagascar,MDG,2017,4.078620434,7.257221222,0.626331985,58.70000076,0.570347905,-0.030257633,0.847260773,0.57831651,,,,255,849,84,7.1,6.7,1.73
Malawi,MWI,2017,3.416862965,7.051014423,0.555422723,56.90000153,0.847920775,0.012702159,0.734636605,0.57405597,,14.34,,837,35,88,4.8,7.9,5.71
Mali,MLI,2017,4.741850376,7.610576153,0.741359413,51.20000076,0.753213346,-0.067151286,0.862655163,0.549026549,,16.53,,11,206,92.9,9,8.5,7.33
Malta,MLT,2017,6.675665855,10.51837444,0.937331796,72.19999695,0.923642933,0.251964569,0.690494537,0.41963762,,,,2274,1746,38.6,3.6,3.7,4
Mauritania,MRT,2017,4.678159714,8.215102196,0.77922523,56.70000076,0.527446806,-0.136453062,0.777314067,0,,,53.5,,24,93.7,6.9,6.9,9.58
Mauritius,MUS,2017,6.174117565,9.919335365,0.910142243,66.09999847,0.912307501,0.082126968,0.818179905,0.415626824,10.3,19.93,,1342,2005,41.7,2.3,4.4,6.75
Mexico,MEX,2017,6.410299301,9.795290947,0.799839377,68,0.861405134,-0.202800855,0.800893068,0.438771129,,,94.97,39291,22467,74.3,8.4,5.8,3.42
Moldova,MDA,2017,5.325530529,8.737823486,0.83076793,64.30000305,0.552825212,-0.015127151,0.926333785,0.433169961,,18.33,,145,443,72,6.1,6.6,4.1
Mongolia,MNG,2017,5.333850384,9.360728264,0.924250782,62.09999847,0.674627423,0.109080806,0.864952207,0.389351517,,12.65,,469,462,56.7,3.6,3.3,6.36
Montenegro,MNE,2017,5.614798546,9.709744453,0.881199837,68.30000305,0.625906289,-0.078511029,0.755680025,0.352438509,,,,1877,1110,55.7,4,4,16.07
Morocco,MAR,2017,5.312482834,8.923830032,0.641193092,65.59999847,0.814258039,-0.224786296,0.840502441,0.527966917,,,,11349,9086,74.9,5.8,8.2,9.19
Mozambique,MOZ,2017,4.279863358,7.070593834,0.678463697,53.20000076,0.822670519,-0.028385254,0.682108939,0.608845353,,18.33,60.66,1447,164,89,6.7,8,3.31
Namibia,NAM,2017,4.441306114,9.219620705,0.82833904,56.20000076,0.810401857,-0.197801247,0.831302881,0.602735937,,,,1499,449,7.4,5.5,7.1,21.57
Nepal,NPL,2017,4.736692429,7.865383625,0.816383302,62.40000153,0.84514761,0.140315026,0.770177126,0.463746637,,17.1,,940,712,91,6.5,6.5,1.4
Netherlands,NLD,2017,7.458965302,10.79567146,0.936501324,72.19999695,0.920319736,0.249880046,0.363133639,0.44193548,,,,17924,23414,27.4,1.5,2.6,4.84
New Zealand,NZL,2017,7.32718277,10.49256229,0.95492065,73,0.942279458,0.295048594,0.221887484,0.446442187,,,,3555,10594,22.6,1.2,2.1,4.7
Nicaragua,NIC,2017,6.476356506,8.550492287,0.83804369,67.19999695,0.922162771,0.014283384,0.672963321,0.442813009,,,,1787,841,77.4,5.6,8.1,3.3
Niger,NER,2017,4.615673542,6.825054646,0.582109571,53,0.68355757,-0.01795084,0.777660012,0.65929687,,13.22,,164,91,97.4,8.7,7.5,0.49
Nigeria,NGA,2017,5.321928024,8.585121155,0.733468533,49.29999924,0.825905561,0.11553894,0.834891975,0.46859923,,,,,2615,11.6,9.2,7.2,8.39
Norway,NOR,2017,7.578744888,11.08160973,0.950127661,73.09999847,0.953016818,0.224219635,0.249711379,0.328113139,,,,6252,6840,2.5,2,1.6,4.16
Pakistan,PAK,2017,5.830870628,8.47035408,0.690263569,58.09999847,0.712657094,0.035748318,0.713928223,0.411645055,,14.54,59.13,,866,98.9,9.1,7.2,3.94
Panama,PAN,2017,6.567658901,10.00980759,0.911904812,69.5,0.899573505,-0.155638441,0.840777099,0.474342674,,,,1843,6824,5.7,5.4,4.6,3.9
Paraguay,PRY,2017,5.71329546,9.375045776,0.902042508,65.5,0.891171455,0.000157979,0.809900761,0.447035611,26.4,,,1584,399,71.6,6.6,5.8,4.61
Peru,PER,2017,5.710936546,9.43493557,0.830123365,67.80000305,0.826552153,-0.16216895,0.895384133,0.479469627,21.7,18.24,94.15,4032,4573,7.3,7.1,7.3,3.46
Philippines,PHL,2017,5.594270229,8.933380127,0.851028562,61.79999924,0.925703108,-0.143559635,0.711165547,0.503399193,,,,6621,8349,84.4,9.7,6.5,2.55
Poland,POL,2017,6.201268196,10.2163353,0.881854117,68.90000153,0.830842614,-0.123560272,0.639479935,0.260087878,14.8,,,18258,14083,4.8,1.8,4.5,4.89
Portugal,PRT,2017,5.711499214,10.24119568,0.899984837,72.19999695,0.905065656,-0.17285125,0.880970538,0.44552809,,,,15432,21586,29,1.3,2.2,8.87
Romania,ROU,2017,6.089904785,10.06226921,0.811240137,66.90000153,0.838586688,-0.157764569,0.925658047,0.4121176,23.6,,,10926,3008,5.9,3,4.5,4.93
Russia,RUS,2017,5.578742981,10.11822224,0.896151304,63.90000153,0.73087424,-0.15018557,0.861590207,0.377679735,13.2,,,24390,14983,79.2,8.9,4,5.21
Rwanda,RWA,2017,3.10837388,7.54574728,0.516550004,60.5,0.908114851,0.049189784,0.213757217,0.714647591,,11.08,,,548,9.8,6.2,7.4,1.06
Saudi Arabia,SAU,2017,6.294282436,10.79556656,0.840086281,66,0.814142168,-0.14289552,0,0.451889485,,,95.33,16109,15020,71.2,6.3,3.8,5.89
Senegal,SEN,2017,4.683024883,8.080952644,0.743759334,59.20000076,0.686937034,-0.050105482,0.825241864,0.436694503,,21.05,51.9,1365,468,82.3,6.2,8,6.61
Serbia,SRB,2017,5.122031212,9.634896278,0.883770406,67.80000305,0.684846342,-0.079894021,0.851457834,0.366129756,24.3,9.26,,1497,1706,7,5.5,5.3,13.48
Sierra Leone,SLE,2017,4.089562416,7.24693203,0.652287126,49.20000076,0.710613549,0.085515551,0.848398328,0.583586097,,19.89,,51,39,89.3,4.3,8.5,4.5
Singapore,SGP,2017,6.378437996,11.38236523,0.897349894,76.5,0.926127851,0.130887881,0.161790684,0.564909577,,,97.2,13903,19891,32.5,1.6,3.3,4.2
Slovakia,SVK,2017,6.365509033,10.31337357,0.913386643,68.59999847,0.714224696,-0.061593965,0.920422673,0.292588055,,,,2162,3024,44.3,1.8,4.2,8.13
Slovenia,SVN,2017,6.166837692,10.35301113,0.928187847,70.80000305,0.920862675,-0.022808127,0.828794718,0.359244138,,,,3991,3057,32.4,1.6,3.1,6.56
South Africa,ZAF,2017,4.513655186,9.410385132,0.870313287,56.09999847,0.787427902,-0.133524135,0.864781916,0.565037489,,18.72,87.05,10285,9706,72.3,6.1,5.5,27.07
South Korea,KOR,2017,5.873887062,10.48956108,0.806929946,73.30000305,0.538113713,0.014646929,0.850690424,0.393612236,,,,13336,17173,38.1,2.1,3.9,3.7
Spain,ESP,2017,6.230173111,10.44199944,0.903158188,74.09999847,0.755560756,-0.030854441,0.791268766,0.378949553,,,,81869,75906,37.9,2.8,1.9,17.22
Sri Lanka,LKA,2017,4.330945492,9.367843628,0.822770596,67,0.827077389,0.0912911,0.844210029,0.427296966,,14.5,91.9,2116,5083,86.6,7.4,7.7,4.18
Sweden,SWE,2017,7.286804676,10.75109577,0.914016783,72.5,0.934582114,0.169508457,0.239366919,0.346856117,,,,7054,14168,22.1,2.1,1.5,6.72
Switzerland,CHE,2017,7.473593235,10.96815777,0.949661374,73.80000305,0.924996912,0.18045871,0.316183478,0.295817792,,,,9889,19654,21.1,1.1,2.1,4.8
Tajikistan,TJK,2017,5.829234123,7.980596066,0.662693322,63.79999924,0.832002461,0.122393087,0.71833688,0.367954314,29.5,,,431,172,81.8,6.7,6.2,11.27
Tanzania,TZA,2017,3.347121239,7.940608501,0.705010295,57,0.800495505,0.102293596,0.653606057,0.549375236,,24.4,,1275,2265,8.3,5.5,7.6,2.03
Thailand,THA,2017,5.938895226,9.698039055,0.877268732,67,0.922896802,0.209213659,0.883816779,0.513357759,7.9,,,35592,57057,76.2,9,4.7,0.83
Togo,TGO,2017,4.360805035,7.332706451,0.507805228,54.29999924,0.716694415,-0.047754228,0.725519598,0.552189291,,23.14,,514,245,83.9,6.5,7.5,2.13
Trinidad and Tobago,TTO,2017,6.191859722,10.26000214,0.916029036,63.5,0.859140456,0.000526841,0.911336362,0.415465385,,,,395,717,56.7,6.3,8.1,2.71
Tunisia,TUN,2017,4.124342918,9.301096916,0.717381597,66.59999847,0.477956653,-0.228446096,0.868826747,0.414514333,,,,7052,1782,74.2,8.3,6.1,15.38
Turkey,TUR,2017,5.607262135,10.12759113,0.876467824,66.40000153,0.644434214,-0.238010645,0.670910537,0.326897621,13.9,,96.15,37601,31870,8.8,8.3,3.9,10.82
Uganda,UGA,2017,4.000516891,7.477723598,0.739956141,55.29999924,0.772344112,0.065945305,0.81577003,0.640636981,,12.46,,1402,957,96,7.1,7.6,1.79
Ukraine,UKR,2017,4.311067104,8.975445747,0.858324885,64.30000305,0.598875523,0.019597124,0.936764002,0.421145946,2.4,13.05,,,,74,7.6,5.2,9.51
United Arab Emirates,ARE,2017,7.039419651,11.10760021,0.83552736,66.90000153,0.962016642,0.206439301,0,0.600683749,,,,20394,21048,43.7,3.1,2.5,2.46
United Kingdom,GBR,2017,7.103273392,10.59318733,0.937495291,72.09999847,0.812733293,0.292151928,0.418611348,0.372231811,,,,37651,47719,33.2,2.7,2.1,4.34
Uruguay,URY,2017,6.336009979,9.935880661,0.91380167,68.90000153,0.897851646,-0.097525902,0.626581967,0.399903923,7.9,14.94,98.62,3674,2660,36.8,3.8,4.4,7.89
United States,USA,2017,6.9917593,10.9054203,0.921002865,68.40000153,0.868496716,0.194489002,0.681191266,0.610804379,,,,77187,251544,35.6,3.2,1.7,4.36
Uzbekistan,UZB,2017,6.421447754,8.706077576,0.942131102,64.80000305,0.985177755,0.121196978,0.464641601,0.442078173,,23.03,,2690,835,81.5,7.1,6,5.83
Venezuela,VEN,2017,5.070750713,8.977793694,0.895879328,66.30000305,0.635505021,-0.169090509,0.843969226,0.563206851,,,,427,,82.9,7.3,5.5,7.3
Vietnam,VNM,2017,5.175278664,8.737690926,0,67.69999695,0,0,0,0.466430068,,,,12922,8890,7.2,4.6,6.2,2.05
Zambia,ZMB,2017,3.932777405,8.220851898,0.74375391,54.79999924,0.823168576,0.129572228,0.739540637,0.612799227,,14.81,,1083,653,87.8,4.6,7.9,11.63
Zimbabwe,ZWE,2017,3.63830018,7.851042271,0.754147053,55,0.752826095,-0.091539845,0.751208007,0.581483781,70,20.79,,2423,158,11.6,8.1,7.9,5.17
