Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2020-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Antigua and Barbuda,ATG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,725017797.1,765852579.9,792378893.7,853982006.1,930448716,908545265.1,986287531.8,1058186578,1120726316,1179062729,1286084000,1249182221,1281936562,1384844083,1503706773,1649973688,1916277837,2149957059,2191116103,1940507462,1814425572,1816047262,1772268902,1720414762,1762220750,1769543692,1882789652,1893259104,2082682422,
Australia,AUS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.95778E+11,3.07385E+11,3.18005E+11,3.37773E+11,3.58017E+11,3.77319E+11,4.02062E+11,4.24501E+11,4.52295E+11,4.78153E+11,5.04077E+11,5.31072E+11,5.64354E+11,5.91533E+11,6.29985E+11,6.64362E+11,7.09742E+11,7.61175E+11,7.9598E+11,8.74218E+11,8.65883E+11,9.37507E+11,9.73601E+11,1.06163E+12,1.10055E+12,1.10211E+12,1.14544E+12,1.20316E+12,1.27503E+12,
Austria,AUT,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49233E+11,1.59589E+11,1.66643E+11,1.7149E+11,1.79359E+11,1.88006E+11,1.95128E+11,2.02533E+11,2.12777E+11,2.2064E+11,2.35436E+11,2.38981E+11,2.51985E+11,2.60772E+11,2.75748E+11,2.88087E+11,3.11039E+11,3.26757E+11,3.43813E+11,3.41722E+11,3.51577E+11,3.73031E+11,3.91635E+11,4.0637E+11,4.1706E+11,4.31091E+11,4.59839E+11,4.80673E+11,5.02771E+11,
Azerbaijan,AZE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38372744920,39392724404,31184807122,24549296764,20134034153,18130578048,18702567635,20128527280,22390586001,24394687744,27708367369,31119426600,34595460526,38835124894,43571124846,57490995229,79645398628,1.0261E+11,1.15685E+11,1.27489E+11,1.35151E+11,1.35804E+11,1.41623E+11,1.52807E+11,1.66329E+11,1.50658E+11,1.55793E+11,1.39153E+11,1.44556E+11,
Burundi,BDI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3345350710,3631297002,3751562787,3600803880,3536838975,3325009279,3115019926,3118352165,3303238723,3317086594,3362180906,3506563883,3720415742,3743134143,4029708576,4192628760,4553356026,4837073838,5170900206,5408976901,5752399508,6109378664,6398831550,7077493019,7650627912,8548873680,8359950973,8375481077,8717627926,
Belgium,BEL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85929E+11,1.95741E+11,2.03266E+11,2.0608E+11,2.17273E+11,2.27119E+11,2.30596E+11,2.41543E+11,2.48631E+11,2.60169E+11,2.84933E+11,2.96257E+11,3.129E+11,3.20613E+11,3.33831E+11,3.47658E+11,3.71464E+11,3.90526E+11,4.05729E+11,4.07955E+11,4.34371E+11,4.51933E+11,4.69721E+11,4.87344E+11,5.03619E+11,5.21017E+11,5.50989E+11,5.77535E+11,5.97433E+11,
Benin,BEN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6270776393,6756790491,7115172194,7708842783,8032531108,8696724039,9238920765,9937195430,10447084313,11164002187,12082144945,13005648454,13824774838,14566421817,15621198734,16383743019,17545233925,19095081324,20419698276,21052570732,21748137022,22860459983,24360768015,26750183430,29160908900,30534656730,32677936872,34023063768,37185967537,
Burkina Faso,BFA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4623079795,5212913806,5344118802,5660099184,5856983833,6321622334,7146433358,7728878591,8387030471,9138079335,9512412288,10363952485,10986164969,12063296245,12942862117,14502039008,15875178585,17223488171,18839312727,19545211465,20835437183,22680248005,23909511817,25583205068,26469528907,27348587909,29959432916,34381680210,37625513454,
Bangladesh,BGD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87748263788,93877344335,1.01243E+11,1.08524E+11,1.15154E+11,1.23589E+11,1.31544E+11,1.39821E+11,1.48715E+11,1.57907E+11,1.69983E+11,1.82531E+11,1.92525E+11,2.05395E+11,2.21976E+11,2.43851E+11,2.67992E+11,2.94616E+11,3.18409E+11,3.37023E+11,3.59947E+11,3.9122E+11,4.43602E+11,4.80227E+11,5.20358E+11,5.55556E+11,6.08089E+11,6.64404E+11,7.34108E+11,
Bulgaria,BGR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65309216633,61815695465,58626493562,59127160890,61487642151,64572473503,56665176230,47340766506,50706611977,47352237998,52120721619,55335343494,60553129255,64871856049,70399897723,78208083827,85980015393,96579784056,1.0736E+11,1.0539E+11,1.10529E+11,1.15193E+11,1.18416E+11,1.20391E+11,1.26667E+11,1.30542E+11,1.41181E+11,1.49881E+11,1.56693E+11,
Bahrain,BHR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13328453865,15326592435,16724586977,19324292479,19687596671,20890356860,22147181821,23225910423,24612366207,26041332109,28034542485,29363102408,30826347962,33375831238,36667060333,40368523291,44279792952,49240475078,53331560947,55103359516,58163007231,60555747563,65410766721,67152031662,68189293560,62119133863,63196664701,71199513662,74229735907,
"Bahamas, The",BHS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5508055374,5456199960,5367053559,5511125637,5806055489,6187362285,6566764869,6817759216,7219672095,7847138501,8355434754,8762904393,9142259671,9194268831,9525154014,10155344044,10725995043,11173449417,11126069585,10742805358,11035220069,11334782602,11716456516,11697889682,12068233093,12551711881,12918350157,13479375208,14023921974,
Bosnia and Herzegovina,BIH,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3752044546,4627508076,8904137108,12172576616,14229875712,15821118520,17064409403,17843060976,19310204735,20215069218,23340398064,24398130105,27883302747,30809783133,33896708640,33762865352,34663037497,36525486366,37145713532,39027394551,39811523028,41200270026,44261336643,46394223063,49732750024,
Belarus,BLR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53309645725,54451100763,50345559504,47621468559,42947676408,39288001961,41127585825,46606182134,51089722708,53589487605,57965141851,62035672869,66196302880,72174548288,82603919630,93183621902,1.05604E+11,1.17767E+11,1.32303E+11,1.33578E+11,1.45673E+11,1.56715E+11,1.68031E+11,1.80918E+11,1.79598E+11,1.91181E+11,1.9207E+11,1.7363E+11,1.83461E+11,
Belize,BLZ,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611073054.4,704160732.4,807060989.8,878031196.7,898200659.3,922942299.1,953264572.2,1004075349,1053358065,1162375932,1343080070,1441380413,1539143950,1713964160,1841919053,1948257731,2099178612,2179400069,2293530737,2326517794,2433261878,2537811485,2458880307,2498849902,2533719415,2614698209,2644804257,2671282228,2819412713,
Bermuda,BMU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1747651973,1742895704,1781549817,1878628767,1930249651,2057418780,2149573086,2287225578,2403174552,2520336303,2816750853,3086434469,3088922058,3253596862,3418748529,3584260404,3897447318,4116040231,4260214633,4065858909,4027100513,3973928713,3795785204,3866456007,,,,,,
Bolivia,BOL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16301788687,17740647194,18443696175,19686750670,21045591836,22492097314,23902853714,25519649848,27104797580,27613515719,28938783152,30071493194,31306422245,32752399546,35037816257,37726654104,40732857693,43736202762,47328355639,49290089166,51922207793,55765338147,61468185273,69849834940,75552047537,77542075898,82732393432,94285208720,1.00661E+11,
Brazil,BRA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98502E+11,1.04788E+12,1.06675E+12,1.14297E+12,1.22965E+12,1.31089E+12,1.36436E+12,1.435E+12,1.45606E+12,1.48399E+12,1.58374E+12,1.64097E+12,1.71783E+12,1.76969E+12,1.92201E+12,2.04534E+12,2.19073E+12,2.38612E+12,2.55645E+12,2.5727E+12,2.79862E+12,2.97063E+12,2.99928E+12,3.13427E+12,3.18705E+12,3.01468E+12,2.93893E+12,3.01772E+12,3.13194E+12,
Barbados,BRB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2502848764,2486579334,2398471381,2474770072,2578440641,2685524812,2843442226,3029580532,3177907279,3234578601,3453950303,3446216094,3528291846,3671998351,3824085693,4099175510,4462613287,4667657153,4801860341,4603353799,4555919371,4614125853,4344666868,4360423203,4322027149,4435427764,4568757598,4529721747,4616936116,
Brunei Darussalam,BRN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14466035683,15425724799,16528036746,16971164871,17878772973,19071188715,19979368540,20024891680,20137176344,21051409730,22135261424,23241505278,24523299248,25704091177,26529220186,27461594982,29536870002,30377197844,30367382092,30058959574,31199547022,33044207206,35211125592,33885751700,33339784705,25948163765,23634493988,25891019750,26535566559,
Bhutan,BTN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800098724.6,823782336.6,881320648.8,920122636.4,986303522.2,1078219917,1159065965,1242413189,1330700497,1457689889,1593597381,1764518795,1989458175,2184936050,2378580863,2631404627,2900801765,3525644808,3766726572,4051571320,4588418544,5058193224,5551028758,5674632094,6230839237,6915215093,7704491372,8307416847,8767427014,
Botswana,BWA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7311443377,8122479864,8549921797,8920200558,9441208467,10316848204,11118217266,12251591978,12444453774,13844531993,14435361891,14788955410,15934700074,16981434152,17910468091,19309906972,21558194889,23969560825,25961922969,24158011298,26532422521,28724946144,27777573514,30379083388,34042602719,32968199367,37281097878,38045584113,40708022571,
Central African Republic,CAF,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1783507772,1833633739,1754942088,1802544885,1931245880,2113707087,2066311326,2213344228,2343457082,2462873910,2455248640,2621127572,2758881203,2658440644,2893672534,3010908030,3250024497,3491097825,3632110886,3974076864,4206561537,4474567487,4898812218,3289213888,3217025734,3536324785,3862992070,4195263791,4460308105,
Canada,CAN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.57998E+11,5.6484E+11,5.83047E+11,6.12811E+11,6.5412E+11,6.85776E+11,7.09578E+11,7.52652E+11,7.90682E+11,8.43508E+11,8.9804E+11,9.33974E+11,9.67559E+11,1.01955E+12,1.07946E+12,1.16758E+12,1.23754E+12,1.29752E+12,1.33906E+12,1.30463E+12,1.36085E+12,1.42747E+12,1.46457E+12,1.55027E+12,1.61756E+12,1.5912E+12,1.67697E+12,1.77427E+12,1.85267E+12,
Central Europe and the Baltics,CEB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.86731E+11,7.35699E+11,7.36894E+11,7.6634E+11,8.1437E+11,8.74808E+11,9.16976E+11,9.50047E+11,9.91555E+11,1.02254E+12,1.08453E+12,1.16083E+12,1.24145E+12,1.31168E+12,1.42971E+12,1.51453E+12,1.67919E+12,1.86709E+12,2.06331E+12,2.06322E+12,2.16729E+12,2.3079E+12,2.38744E+12,2.48604E+12,2.5857E+12,2.69299E+12,2.86144E+12,3.07559E+12,3.24742E+12,
Switzerland,CHE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85259E+11,1.8977E+11,1.9401E+11,1.98357E+11,2.05165E+11,2.10474E+11,2.15878E+11,2.25463E+11,2.3405E+11,2.41568E+11,2.5693E+11,2.65902E+11,2.74768E+11,2.76783E+11,2.89453E+11,3.01741E+11,3.37517E+11,3.75613E+11,4.02151E+11,4.01194E+11,4.15561E+11,4.44549E+11,4.62615E+11,4.86239E+11,5.06895E+11,5.29568E+11,5.50297E+11,5.67449E+11,5.90532E+11,
Channel Islands,CHI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59884080750,66835784571,77143487637,85334371293,93055582546,1.05726E+11,1.16868E+11,1.27713E+11,1.34736E+11,1.36118E+11,1.46574E+11,1.54737E+11,1.62068E+11,1.71831E+11,1.89179E+11,2.06274E+11,2.57648E+11,2.80052E+11,2.75716E+11,2.72874E+11,3.09886E+11,3.50575E+11,3.74242E+11,3.94292E+11,4.04667E+11,4.07689E+11,4.13363E+11,4.38189E+11,4.6379E+11,
China,CHN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11513E+12,1.25999E+12,1.47191E+12,1.71574E+12,1.9811E+12,2.2441E+12,2.51207E+12,2.79127E+12,3.04392E+12,3.32463E+12,3.68757E+12,4.08274E+12,4.526E+12,5.0727E+12,5.73599E+12,6.58868E+12,7.65148E+12,8.97518E+12,1.00331E+13,1.10599E+13,1.23788E+13,1.38444E+13,1.51247E+13,1.61853E+13,1.70584E+13,1.77222E+13,1.85545E+13,1.96174E+13,2.14149E+13,
Cote d'Ivoire,CIV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24493303203,25331969784,25845898316,26407331879,27190020837,29738267098,32623439466,34428330506,36532485359,37659397374,37704903408,38578699258,38535391861,38717398903,40249503255,42217625708,44154536393,46140929528,48234544140,50182540177,51791592986,50553775704,56648335977,62520934908,70844202068,78181827266,82935759540,87295300973,96068555703,
Cameroon,CMR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21856882109,21735436262,21541612451,20302814810,21176783633,22371022744,23774126625,25449232616,26894363697,28453642063,30123382459,32128792500,34019889758,36234280996,39732963802,41798500646,44552398864,47991918638,50632335350,52140052680,54552906080,57992159983,61488046964,66395310014,72285817067,75971681810,81493217562,87320624933,93081440846,
"Congo, Dem. Rep.",COD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30554562462,28927814576,26480409871,23456641043,23023186298,23670484997,23857274381,22905484750,22787083138,22128994490,21060176245,21070113824,22034314860,23695372343,25972970911,28425131020,30843600276,33654656289,36445343420,37771654915,40927874365,44655249523,46298988855,53835403875,62688900375,69035180825,75948038625,86267287184,93456926901,
"Congo, Rep.",COG,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7615524679,8061651909,8460734339,8576340597,8278313192,8788730902,9333638584,9435263681,9898076586,9781707095,10758001076,11412026703,12123692944,12449270155,13228898484,14698931880,16088115540,16258899445,17498762837,18949100890,20847579112,22011087478,22129500000,22036894694,22265867251,16214134507,16932927188,17015259405,17608494180,
Colombia,COL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65127E+11,1.74129E+11,1.85301E+11,1.99907E+11,2.16048E+11,2.32053E+11,2.4116E+11,2.53734E+11,2.58052E+11,2.50772E+11,2.63877E+11,2.7419E+11,2.85501E+11,3.02197E+11,3.26883E+11,3.5293E+11,3.88261E+11,4.25995E+11,4.48426E+11,4.57291E+11,4.82733E+11,5.291E+11,6.61651E+11,6.97434E+11,6.623E+11,6.60358E+11,6.72094E+11,6.99881E+11,7.36511E+11,
Comoros,COM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,653375808.2,639025396.8,709345690.5,747980654.7,723640739.1,765486984.5,769434529.7,814246707.1,833971599.1,862293248,977201192.3,1021932606,1062232345,1104722039,1156241340,1226088471,1296628558,1342111858,1422946027,1479676881,1553800743,1651292301,1820770803,1957230318,2063659666,2105931321,2278380065,2467927827,2614776603,
Cabo Verde,CPV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359431219.7,376803922.7,427543640.3,475787305.3,579164670.6,675343429,765740267.2,865551005.9,984855879.4,1111197968,1298320125,1356407351,1450212562,1538833770,1741402948,1919769965,2135774030,2525862345,2746244180,2732025196,2804400162,2976609860,2946809286,2969164272,2979415380,3145506135,3359981168,3570702549,3843403818,
Costa Rica,CRI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15776650518,16679710660,18628743283,20421707789,21793733259,23167773327,23884007821,25647912982,27742212821,29252524210,31052821238,32841605251,34459246073,36592824856,39207578596,41993822488,46396020622,51533724553,54978842055,54860309155,58247832308,62025773108,71921695944,75944255509,77443750655,82731555698,88230343944,94108414260,98801203452,
Caribbean small states,CSS,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36171379927,38184110213,40259913194,42542019021,44652546063,46888509648,49376048380,51831162733,53926565865,56957879001,60440353565,63143932019,66666105521,72364328614,77537088681,82938941311,91708482973,97435669094,1.00896E+11,98093397012,1.00688E+11,1.03905E+11,1.04328E+11,1.06751E+11,1.08284E+11,1.0692E+11,1.07283E+11,1.10825E+11,1.15063E+11,
Cuba,CUB,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3038884425,3083933199,3145152627,3212793282,3306166251,3432211818,3593925477,3781621514,3939532072,3948474420,3997771738,4106283623,3982046353,3987831823,3956744391,3963783281,3960923628,4080536557,4089393470,
Cayman Islands,CYM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2471710406,2592648485,2677112489,2752247957,2843310340,2954035571,3060866621,3361364483,3622388219,3837335701,3897995484,3644897649,3587234324,3704981221,3703607650,3742739933,3837380707,3964560339,4160130182,4400010857,,
Cyprus,CYP,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7726504366,8046865712,9003889490,9281737431,10039253879,11106893135,11433381829,11922577240,12737737594,13502029233,14780332197,16045549078,16716264237,17421300234,18870178536,20504294349,22513392096,25198141298,27398580241,27406451469,27741604677,28345739480,27503271672,26181605238,25611662363,26889912403,30323248311,32589059538,34680054148,
Czech Republic,CZE,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.30781E+11,1.195E+11,1.21604E+11,1.24563E+11,1.30924E+11,1.41985E+11,1.50355E+11,1.51751E+11,1.53452E+11,1.57591E+11,1.66077E+11,1.79349E+11,1.85474E+11,1.98033E+11,2.12092E+11,2.24201E+11,2.43404E+11,2.69036E+11,2.89157E+11,2.88464E+11,2.90017E+11,3.0226E+11,3.05309E+11,3.20535E+11,3.39583E+11,3.55312E+11,3.79085E+11,4.07775E+11,4.29754E+11,
Germany,DEU,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.54319E+12,1.67687E+12,1.74815E+12,1.77204E+12,1.85329E+12,1.92119E+12,1.96886E+12,2.01514E+12,2.07945E+12,2.15851E+12,2.23691E+12,2.33715E+12,2.4069E+12,2.46575E+12,2.58321E+12,2.62204E+12,2.81061E+12,2.98214E+12,3.10396E+12,3.01821E+12,3.18756E+12,3.41502E+12,3.48723E+12,3.62856E+12,3.80711E+12,3.89513E+12,4.1639E+12,4.38179E+12,4.51479E+12,
Djibouti,DJI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3629787593,3860220526,4209837016,4387950587,4637948008,5010335760,
