Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Antigua and Barbuda,ATG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15459.54147,15586.93084,15497.4764,15991.80551,16697.21178,15628.37763,16303.7585,16828.60051,17258.95459,17551.34236,18395.24378,17213.10674,17148.85109,17957.21279,18742.46374,19667.90405,21839.18286,23485.94842,23101.93149,19989.09291,18205.98537,17604.4171,17965.50233,17641.54253,18104.24147,18595.0849,19417.96482,19840.07612,21115.79827
Australia,AUS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31309.30995,30789.98555,30544.12595,31465.52407,32374.19619,33212.44344,34050.31612,35007.08863,36229.6826,37635.37464,38652.01499,38870.6746,39935.61035,40623.66352,41783.93534,42557.36905,43106.04404,44484.41949,45196.7317,45132.30771,45354.40423,45830.11923,46801.57225,47192.05739,47671.11104,48020.25414,48585.8902,48905.4172,49575.98113
Austria,AUT,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37700.87736,38610.97131,38987.85004,38871.37224,39652.20546,40647.83777,41546.73825,42368.52272,43837.79104,45308.56851,46725.56529,47136.87133,47680.20688,47895.21912,48900.88039,49658.78404,51120.44956,52854.3176,53458.60478,51311.52543,52128.70105,53471.77009,53590.71835,53289.37831,53224.16774,53164.8014,53688.28239,54637.00128,55687.18928
Azerbaijan,AZE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7792.07871,7618.347813,5807.936515,4398.966026,3484.942847,3038.522811,3047.096651,3192.878354,3478.988617,3703.786332,4081.240295,4450.666914,4834.552563,5287.862497,5726.836413,7253.616425,9647.097048,11967.09644,12959.57452,13882.58635,14375.3426,13966.0503,14085.30445,14716.67401,14940.68227,14918.89361,14300.98738,14121.40694,14197.35439
Burundi,BDI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1184.84244,1215.886531,1202.107139,1105.228876,1044.715537,947.8223677,861.4827369,839.1968453,870.0440818,850.0480162,828.00046,826.0290678,839.7785267,804.8850292,817.4605854,798.7042847,815.0537358,815.9094394,827.7925182,831.5641312,846.1695269,852.5026216,862.7160862,877.2741603,886.2357768,825.2059856,794.6045744,773.5718584,761.5241934
Belgium,BEL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35535.23277,36052.4025,36456.03285,35964.60572,37010.93072,37814.27155,38239.18921,39593.91815,40284.57716,41616.26336,43058.45428,43382.46062,43925.60432,44196.12034,45576.77068,46379.12964,47250.21642,48629.15501,48462.13098,47102.33028,48010.81972,48193.26963,48249.37389,48243.02308,48787.48702,49491.62385,49985.77504,50771.62826,51250.32615
Benin,BEN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175.205518,2191.83933,2179.508047,2227.352393,2195.820131,2253.117236,2277.766675,2336.547732,2358.283772,2411.993011,2478.216433,2532.632262,2570.789418,2579.69815,2614.212118,2581.641605,2606.81618,2685.129309,2738.192496,2724.086289,2704.704014,2707.869414,2759.849958,2876.905634,2975.853914,2945.973006,2961.441778,3044.513887,3160.777093
Burkina Faso,BFA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,891.5186077,946.6946663,923.6850336,930.1100751,916.98772,943.1492571,1018.481868,1053.091115,1098.813278,1147.329362,1135.48155,1176.456749,1192.863214,1249.198655,1267.488689,1337.117721,1378.891706,1413.6441,1471.567968,1469.987533,1502.906949,1555.001783,1606.460522,1649.591278,1670.740583,1685.527547,1733.785844,1791.339106,1859.641291
Bangladesh,BGD,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1517.728805,1534.524665,1582.313157,1621.326362,1648.733516,1696.567332,1735.921385,1775.963659,1829.503271,1876.59851,1937.7287,1998.065795,2037.235527,2097.168007,2171.687941,2279.530552,2399.081247,2537.110484,2659.048335,2762.179562,2883.466325,3034.937568,3195.735995,3348.952414,3511.581171,3700.110359,3920.300765,4161.089713,4441.423056
Bulgaria,BGR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10583.86755,9786.47168,9172.736224,9109.33303,9306.491679,9615.406614,9733.232496,9686.044337,10369.97803,9551.456582,10056.20191,10645.15326,11524.68147,12215.29603,13099.89952,14139.137,15226.31869,16465.22566,17579.70625,17058.82592,17398.85601,17846.09594,17955.32316,18145.27424,18584.02749,19352.20103,20255.62263,21181.77178,21992.64811
Bahrain,BHR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38626.38907,41798.58167,43458.81812,47851.40012,46570.314,47188.65783,47857.26272,47988.63513,48749.33839,49021.06829,49439.06953,48278.20273,47342.81922,47508.55334,47693.20163,47524.35499,46941.62913,47031.79536,46438.47096,44788.05649,44629.60563,44186.91145,45065.93478,46962.08111,48233.1365,48320.20674,48107.08786,47654.60992,46172.25366
"Bahamas, The",BHS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38659.35722,36363.61064,34312.42423,33778.10363,34238.37098,35184.27068,36180.36704,36492.15126,37787.37091,40009.8771,41112.28909,41555.0252,41979.47512,40724.62628,40341.43569,40945.27819,41192.93048,41001.55416,39315.49316,37035.69559,37040.03911,36786.67877,37504.30428,36041.86161,35967.89215,35837.34626,35642.47241,35308.4134,35500.5442
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1681.914128,2088.779618,4014.666948,5436.241556,6287.211404,6874.18515,7237.142847,7546.853657,7938.645693,8250.077573,8748.629892,9512.071657,10027.11857,10621.70643,11223.51566,10939.92351,11114.49695,11351.1413,11447.45704,11922.85966,12269.27419,12842.70356,13415.26905,13842.71201,14463.40736
Belarus,BLR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8895.476512,8784.420451,7924.014893,7305.342583,6458.186142,5805.266913,5987.785689,6698.744568,7296.054591,7575.918326,8053.173638,8477.084011,8961.64112,9660.193688,10839.95627,11940.1866,13214.87158,14417.35353,15942.89768,16010.43996,17288.40435,18251.78094,18576.72868,18760.16352,19066.88682,18307.51967,17822.60659,18280.19892,18885.2355
Belize,BLZ,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4706.954187,5148.398104,5674.380627,5929.847936,5819.735315,5707.714906,5607.669261,5599.006102,5589.875401,5858.135525,6397.918901,6514.715887,6657.334886,7087.958071,7227.51344,7223.242572,7358.95515,7248.823516,7292.697953,7158.879089,7221.867894,7204.386643,7245.7105,7144.365894,7247.76258,7339.33721,7148.295868,7108.84141,7185.003371
Bermuda,BMU,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4587.427367,4728.049521,4705.585164,4804.544567,4925.107094,5050.311133,5164.250727,5312.077658,5469.46973,5386.179208,5415.529908,5402.76514,5434.088808,5479.265054,5605.204961,5749.528524,5920.711655,6085.385803,6351.228158,6455.974235,6612.807788,6844.981818,7081.386796,7444.490108,7730.638234,7984.413342,8202.550704,8423.696827,8655.530099
Brazil,BRA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10517.67029,10490.48609,10264.74635,10566.22884,10949.52777,11250.57136,11317.67611,11520.33164,11383.88868,11269.00935,11597.14334,11598.69385,11796.97055,11782.46777,12312.33443,12561.82017,12917.91688,13560.5451,14110.34514,13957.67912,14868.33014,15318.30631,15473.71202,15800.03897,15744.34711,15059.23437,14446.41281,14519.84913,14596.24616
Barbados,BRB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14131.76045,13530.38913,12712.55236,12765.39558,12971.9861,13180.39923,13648.37252,14234.65991,14702.40434,14690.78965,15283.98713,14868.51002,14934.88849,15209.50832,15370.69673,15918.59682,16750.9664,16987.40996,17066.08696,16169.91502,15761.38104,15588.82772,15539.26932,15294.3432,15240.08912,15548.87462,15876.97088,15825.29529,15724.00427
Brunei Darussalam,BRN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71230.86214,71404.84166,72704.66622,70909.5634,71175.85014,72446.41396,72694.67483,69940.87396,67984.22111,68541.66138,69023.08733,69484.51789,70770.57841,71483.58556,70616.8165,69787.43992,71843.32932,71052.08977,68855.61726,66850.4205,67751.32978,69388.63694,69091.7268,66714.53789,64296.66615,63140.5187,60865.98695,60995.68111,60388.90309
Bhutan,BTN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2784.172629,2752.963106,2880.248882,2948.050684,3098.089577,3300.356183,3439.982935,3557.536867,3683.355763,3884.488654,4061.450926,4308.547022,4686.064087,4957.537031,5165.124952,5456.749794,5761.697556,6743.016102,6995.758464,7393.983249,8190.564266,8744.945021,9083.991499,9163.524849,9573.989051,10086.19751,10775.14642,11142.39995,11345.44492
Botswana,BWA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9073.870918,9459.78889,9469.90214,9406.082831,9509.778567,9935.080266,10265.82863,10862.86297,10665.95368,11446.88281,11439.47938,11253.50097,11726.71664,12058.6874,12166.60754,12483.76291,13256.50687,14051.01535,14615.44022,13235.44768,14125.86833,14769.91727,15245.41548,16785.60002,17263.80557,16713.78124,17116.48586,17253.23161,17629.88244
Central African Republic,CAF,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1201.677234,1165.23945,1060.638246,1033.830619,1053.746606,1098.896607,1027.650659,1055.256506,1078.451654,1091.362361,1040.10212,1062.721735,1077.954411,999.0009747,1037.846766,1026.913399,1055.088871,1082.685101,1085.440764,1161.189475,1201.351375,1242.715645,1300.287637,824.9438321,822.6104578,852.7494264,884.4944169,912.8020523,933.1095507
Canada,CAN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31999.27559,30944.77412,30855.95289,31330.78312,32382.31526,32912.35204,33097.47343,34172.76048,34838.08862,35928.09984,37345.5419,37461.26445,38324.21357,39427.78608,40590.51079,42217.73482,43534.37638,46074.95263,46037.95682,44182.43386,45043.82706,46008.80502,46313.98284,46895.06355,47757.67942,47729.60524,47714.65258,48552.53516,48786.76165
Central Europe and the Baltics,CEB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13899.50354,12563.24163,12303.51554,12507.65948,13015.51611,13739.76854,14355.21456,14765.32252,15184.89885,15478.10718,16188.30216,16812.54142,17542.11471,18308.39572,19467.31254,20487.51956,21902.91385,23401.2544,24468.09949,23674.89679,24077.08047,24914.64296,25186.78821,25594.06463,26433.28458,27523.86419,28463.67867,29936.04396,31288.49489
Switzerland,CHE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55609.41459,54415.76417,53795.57732,53240.71763,53488.65243,53387.93256,53439.65361,54558.64762,56023.17569,56701.56127,58603.61051,58998.14111,58648.73802,58238.25688,59445.07502,60905.49524,62938.62798,64943.52257,65505.25738,63254.34561,64478.65374,64845.09538,64805.70177,65251.28461,66038.72906,66161.83417,66570.61468,67139.0927,68488.32373
Channel Islands,CHI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9543.895775,10120.52746,11066.51052,11605.23752,11998.50435,12875.38957,13556.62341,14367.7384,14797.42455,14556.58173,15152.57002,15477.77288,15787.42394,16261.96712,17254.40885,18056.16961,18995.17193,19715.15341,20193.48191,19668.1592,20602.44078,21644.46854,22577.17577,23261.6087,23422.70845,23681.75057,23760.395,23723.80507,24337.7004
China,CHN,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1411.805612,1522.109388,1717.319087,1933.117885,2160.869496,2371.560301,2579.835111,2789.280266,2979.169064,3179.943312,3422.891034,3681.517892,3990.835898,4364.073408,4776.878751,5290.03745,5929.700117,6738.294474,7351.066356,8002.152495,8810.618021,9605.97506,10310.60983,11056.8776,11804.05959,12555.2073,13328.64336,14149.92397,15010.55647
Cote d'Ivoire,CIV,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3292.589389,3177.357955,3058.261145,2946.756967,2870.354045,2974.340002,3102.557202,3119.670925,3177.162582,3139.313062,2995.515553,2928.25979,2816.176567,2719.793994,2696.471791,2685.497081,2668.002754,2656.133227,2663.335558,2687.751126,2678.708344,2500.812157,2701.936286,2870.150919,3045.319549,3232.060616,3402.322687,3572.190761,3741.001497
Cameroon,CMR,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3222.944481,3008.802097,2831.18836,2532.740502,2514.809912,2531.467518,2571.744363,2635.788911,2683.498422,2726.668988,2750.510988,2795.872001,2837.961233,2889.281873,3003.250985,2982.024745,3002.135213,3064.124968,3084.986501,3067.222964,3086.220716,3126.786836,3180.772483,3262.763595,3362.664067,3458.6939,3524.444514,3554.525156,3603.548882
"Congo, Dem. Rep.",COD,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1819.723315,1606.326515,1382.762098,1150.836259,1066.468119,1039.75299,1000.689081,921.4226643,885.7859146,828.2092918,751.5578206,715.6777657,715.4544562,732.5366714,757.6859422,778.9679157,794.4295844,817.0696544,839.8155864,835.6116961,865.6840268,894.8265177,926.787843,972.4558934,1029.790785,1065.24241,1055.572955,1059.810775,1085.245287
"Congo, Rep.",COG,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3472.790716,3459.722095,3453.639465,3326.395352,3057.124362,3090.676605,3132.716862,3024.687385,3048.050666,2884.531295,3014.777551,3041.385522,3091.904755,3028.728614,3041.584007,3175.879109,3263.689616,3103.512316,3165.884034,3292.439162,3473.055608,3492.872918,3532.871768,3565.443136,3715.382487,3720.158487,3525.318361,3329.338984,3277.759399
Colombia,COL,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8388.981567,8390.676755,8561.614629,8850.754529,9190.522075,9492.792913,9516.814695,9674.339944,9567.025136,9015.563681,9131.627158,9140.462895,9227.36273,9448.260216,9812.093149,10136.16498,10684.74724,11276.43866,11507.57154,11517.4411,11892.55985,12645.01044,13020.57388,13492.10055,13988.07185,14234.42754,14335.25446,14312.17751,14458.83652
Comoros,COM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3061.360665,2812.289135,2964.257464,2966.196546,2730.645761,2751.164083,2642.082954,2675.593277,2639.282366,2621.591167,2833.59624,2829.119097,2825.805947,2817.322425,2804.013263,2815.692913,2821.947486,2777.15955,2819.650161,2840.628679,2878.286403,2924.722771,2946.177804,3005.535176,2996.379345,2959.539971,2987.989053,3032.254682,3066.837847
Cabo Verde,CPV,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748.634029,1730.782105,1868.669894,1974.262163,2288.253362,2546.627556,2769.275079,3010.753532,3319.827028,3622.688218,4065.384467,4084.369026,4228.551268,4336.816977,4709.057866,4964.818905,5291.058834,6018.195918,6341.257233,6185.710076,6200.217681,6366.154034,6353.783159,6323.27761,6281.878816,6266.84595,6482.648319,6643.204611,6900.026639
Costa Rica,CRI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9542.065673,9506.376521,10113.9441,10555.2794,10752.99215,10922.3929,10793.27133,11128.63052,11637.57887,11842.62234,12057.79295,12256.86957,12453.95371,12787.08949,13148.67173,13465.31785,14240.8193,15196.90269,15695.05467,15344.64083,15905.21834,16390.79164,16975.8374,17162.93613,17568.84315,18010.06764,18577.2631,19011.97754,19319.60308
Caribbean small states,CSS,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10009.80568,10137.14993,10324.63686,10578.87621,10764.36955,10975.39033,11232.74724,11471.99388,11683.49154,12055.69505,12396.96239,12579.27129,12956.0448,13648.71423,14108.2108,14509.93224,15398.70739,15806.98942,15923.32562,15275.27786,15377.84308,15455.93009,15536.30659,15591.28596,15565.83086,15637.2236,15263.96113,15150.44672,15263.89451
Cuba,CUB,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29669.86461,30562.31835,30646.14873,30107.17996,29653.96471,29102.86384,28829.01689,28963.40996,29227.07658,28883.10378,28543.36071,28313.04862,28040.03605,27503.78944,26826.59238,26548.7,26009.528,25475.48966,24982.14485
Cayman Islands,CYM,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86816.57063,85124.45314,82148.72773,79571.83255,78397.83751,77769.10097,76388.61747,79109.50569,80336.53871,80435.9852,77832.00637,70287.62299,66749.99486,66123.21858,65710.22248,65469.30544,66195.47559,67104.79814,68248.23543,69420.51146,
Cyprus,CYP,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22426.00155,22014.54206,23451.61506,23052.32139,23912.68036,25446.80771,25357.13682,25660.46512,26896.72061,27926.75755,29279.5747,30110.56495,30875.69475,31302.89644,32439.44555,33527.38838,34526.93999,35522.73406,35905.15946,34249.69676,34037.80334,33313.53723,31678.89698,29671.84935,29441.11307,30608.43461,32523.93466,33628.11671,34569.20987
Czech Republic,CZE,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23661.71123,20963.68318,20836.1792,20827.41694,21425.61025,22772.54294,23761.82343,23645.98943,23590.60167,23953.07891,25045.2268,25870.75271,26349.0441,27306.21146,28637.29109,30466.12784,32466.09481,34085.56926,34710.74805,32856.01471,33505.20625,34030.443,33711.04902,33536.87243,34411.19112,36166.99316,36982.18871,38489.49631,39495.6274
Germany,DEU,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36640.00325,38232.09201,38674.05704,38044.38227,38821.81538,39301.97147,39510.08503,40156.00505,40960.57046,41708.5608,42858.01898,43512.37299,43353.06865,43019.90616,43541.25809,43880.4698,45605.74203,47029.49775,47572.41643,44975.9611,46927.32949,49681.2864,49796.15574,49873.1147,50771.04025,51209.08646,51930.16272,53011.76816,53659.98929
Djibouti,DJI,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4054.263519,4266.163079,4516.713618,4750.622883,4912.575729,5100.726668
Dominica,DMA,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7775.817907,7885.556244,8026.243204,8166.556588,8144.955124,8385.269338,8665.370008,8897.001842,9287.222354,9366.882551,9611.483256,9603.930254,9308.728034,9863.00477,10123.17119,10159.72211,10613.6429,11275.73086,12073.18936,11927.92054,12003.56657,11970.29971,11835.38209,11708.63959,12217.56299,11872.40739,12154.75144,11304.35971,11533.40089
Denmark,DNK,"GDP per capita, PPP (constant 2017 international $)",NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39121.16219,39563.56002,40204.65619,40075.21332,42069.8958,43118.38202,44118.47221,45368.20052,46206.4297,47411.46763,49023.7821,49250.53391,49322.38094,49380.26477,50566.98809,51606.19559,53449.60163,53696.92978,53109.03318,50233.70269,50946.76336,51415.67416,51338.5938,51602.17867,52172.60643,53018.93249,54314.38094,55064.90886,56102.82194
