,Country name,Code,year,GDP,Happiness Index,Log GDP,Social support,Healthy life exp,Freedom,Generosity,Pct corruption,Blue Index,Suicide,Depression & Anxiety,Substance Abuse,Physician perpop,Average Age,Sleep (min),Gini index,Pct Poverty,Pct spent ed,Literacy rate,Tourist arrivals,Rev tourism,Fragile index ,Security index,brain drain,Unemployment rate,continent
10,Belgium,BEL,2017,50772,6.93,10.66,0.92,71.8,0.86,0.06,0.54,39.08058858,18.83,4967,559.6876647,0.0847,41.4,450,,,,,8385,9636,3.8,2.4,1.6,7.09,Europe
11,Benin,BEN,2017,3045,4.85,7.63,0.44,53.9,0.73,-0.04,0.77,12.82404709,5.99,3285,496.1883415,0.5433,18.2,,,,19.88,,281,160,77.6,6.2,7.4,2.46,Africa
12,Bolivia,BOL,2017,8424,5.65,8.82,0.78,63.3,0.88,-0.11,0.82,12.60372341,5.79,3558,850.8936297,2.1652,24.3,,44,36.4,,,1109,912,76.8,6.5,7,3.67,Americas
13,Bosnia and Herzegovina,BIH,2017,13843,5.09,9.42,0.78,67.5,0.56,0.09,0.92,19.42136499,9.17,3242,1502.793288,2.1652,42.1,,,,,,923,985,73,5.7,5.5,20.53,Europe
14,Botswana,BWA,2017,17253,3.5,9.69,0.77,58.2,0.82,-0.25,0.73,18.89497582,8.77,4506,911.9032838,2.1652,24.5,,,,,,1623,542,63.8,4.1,5.5,17.5,Africa
15,Brazil,BRA,2017,14520,6.33,9.56,0.9,66.2,0.76,-0.18,0.79,14.83377576,6.68,4457,1452.43639,2.1652,32,416,53.3,,,93.08,6589,6175,68.2,6.7,4.6,12.82,Americas
16,Bulgaria,BGR,2017,21182,5.1,9.83,0.94,66.6,0.69,-0.15,0.91,29.3508835,14.11,3726,1055.534001,2.1652,42.7,434,,22,,,8883,4678,53.7,4.3,4.2,6.16,Europe
17,Burkina Faso,BFA,2017,1791,4.65,7.44,0.78,53.4,0.61,-0.05,0.73,15.13432713,7.14,3328,479.9751816,2.1652,17.3,,,,21.44,,143,172,88,8.4,7.5,6.22,Africa
18,Cambodia,KHM,2017,3928,4.59,8.2,0.77,61.2,0.96,0.09,0.82,8.899109832,4.1,2825,529.7726631,2.6102,25.3,,,,,,5602,4024,85.7,6.7,7.6,0.68,Asia
19,Cameroon,CMR,2017,3555,5.07,8.11,0.69,51.9,0.77,-0.03,0.84,16.55951489,7.82,3486,530.059564,2.6102,18.5,,,,15.91,,1081,543,95.6,7.9,7.6,3.41,Africa
20,Canada,CAN,2017,48553,7.41,10.69,0.93,73.4,0.95,0.16,0.36,26.83662443,12.83,3983,895.8310497,2.4411,42.2,443,,,,,20883,20400,22.6,2.2,1.7,6.34,Americas
21,Chad,TCD,2017,1587,4.56,7.47,0.66,47.7,0.61,0,0.79,11.21763531,5.2,3261,422.5412593,1.9798,17.8,,,,16.36,,87,,19.4,9.4,8.8,1.85,Africa
22,Chile,CHL,2017,23724,6.32,10.01,0.88,69.8,0.79,-0.02,0.84,24.47035466,11.5,4740,1061.418628,2.1064,34.4,417,46.6,8.6,21.3,96.4,6450,4372,41.1,3.2,3.8,6.96,Americas
23,China,CHN,2017,14150,5.1,9.63,0.77,69,0.88,-0.19,0,19.26784682,9.1,3744,779.3872792,2.1064,37.4,424,,3.1,,,60740,38559,74.7,5.9,4.9,4.44,Asia
24,Colombia,COL,2017,14312,6.16,9.49,0.91,67.4,0.84,-0.16,0.88,12.32603351,5.76,2797,994.8006984,2.1064,30,408,49.7,26.9,16.14,,3631,5882,78.9,6.9,6.2,8.87,Americas
25,Congo (Brazzaville),COG,2017,,4.88,8.54,0.66,57.3,0.78,-0.17,0.76,20.13222947,9.42,4416,780.9178781,2.9533,31.3,,,,,,,,,,,,Africa
26,Costa Rica,CRC,2017,19012,7.23,9.64,0.92,71.1,0.94,-0.07,0.74,18.0882063,8.5,3724,887.491867,4.0676,43,423,48.3,20,30.15,,2960,3826,44.1,3.6,4.1,8.14,Americas
27,Croatia,HRV,2017,26700,5.34,10.04,0.77,69.6,0.72,-0.1,0.89,34.41012728,16.55,4154,1201.842449,4.0676,36.8,437,,19.4,,,15593,11128,5.6,3.5,4.7,11.21,Europe
28,Cyprus,CYP,2017,33628,6.06,10.41,0.82,73.5,0.81,0.04,0.85,12.16430352,5.58,3739,531.8807597,4.2488,42.1,,,,,,3652,3274,62.6,4.4,4,11.05,Asia
29,Czech Republic,CZE,2017,38489,6.79,10.39,0.9,69.8,0.83,-0.17,0.87,29.84402847,14.32,3810,1236.113872,1.56,42.2,,,,,,10160,7695,4.1,2.6,2.8,2.89,Europe
30,Denmark,DNK,2017,55065,7.59,10.76,0.95,72.1,0.96,0.16,0.18,25.26124546,12.12,3716,630.3151704,1.56,28.1,,,,,,12426,8508,21.5,1.7,1.9,5.74,Europe
31,Dominican Republic,DOM,2017,16735,5.61,9.61,0.89,65.5,0.86,-0.12,0.76,11.32443907,5.13,3510,1077.756278,0.7993,27.7,,,25.6,,,6188,7184,69,5.8,7.1,5.83,Americas
32,Ecuador,ECU,2017,11618,5.84,9.25,0.85,68.2,0.88,-0.17,0.73,18.81288748,8.86,3725,904.8832385,0.7993,23.9,,44.7,21.5,,92.83,1806,1554,77.3,6.8,5.8,3.84,Americas
33,Egypt,EGY,2017,11014,3.93,9.28,0.64,61.4,0.59,-0.16,0,10.91826352,4.93,3927,497.0540911,3.8723,27.1,399,,32.5,,71.17,8157,8636,89.8,8.1,4.7,11.74,Africa
34,El Salvador,SLV,2017,8437,6.34,8.89,0.83,65.8,0.76,-0.17,0.78,21.31511265,10.07,3759,1188.450583,3.4629,42.7,,38,29.2,15.59,88.48,1556,1227,73.1,7.3,7.9,4.39,Americas
35,Estonia,EST,2017,33821,5.94,10.31,0.94,68.4,0.86,-0.1,0.67,35.32492682,16.7,5135,2353.040631,3.2565,42.5,446,,,,,3244,2126,44.7,3.3,4,5.76,Europe
36,Finland,FIN,2017,47471,7.79,10.63,0.96,71.8,0.96,0,0.19,32.99198901,15.73,5173,730.6226996,3.2565,41.4,456,,,,,3180,5207,18.7,1.7,2.3,8.64,Europe
37,France,FRA,2017,44783,6.64,10.57,0.93,73.6,0.83,-0.12,0.6,35.21077548,16.84,5299,557.7685805,0.6819,18.6,448,,,,,86758,67936,33.5,3.3,2.2,9.4,Europe
38,Gabon,GAB,2017,15007,4.78,9.69,0.81,59.2,0.65,-0.24,0.87,19.95254666,9.29,4636,808.8533195,2.7863,38.1,,38,33.4,,,,,73.8,5.2,6.1,19.98,Africa
39,Georgia,GEO,2017,13590,4.45,9.18,0.59,64.7,0.82,-0.23,0.59,19.77685928,9.35,3473,1176.770435,6.1297,47.1,,37.9,21.9,12.95,99.36,4069,2971,76.5,6.8,4.9,13.94,Asia
40,Germany,DEU,2017,53012,7.07,10.72,0.89,71.9,0.84,0.15,0.41,30.59893481,14.66,4497,619.7392299,0.1359,21.1,438,,,,,37452,56330,28.1,2.1,2.1,3.75,Europe
41,Ghana,GHA,2017,4997,5.48,8.31,0.67,56.8,0.78,0.09,0.84,13.54464059,6.32,3405,578.5623472,5.4789,44.5,,,,20.1,,,919,69.7,3.8,8.2,4.22,Africa
42,Greece,GRC,2017,29089,5.15,10.11,0.75,72.2,0.44,-0.29,0.87,11.38303256,4.98,5050,458.7969101,5.4789,22.1,436,,,,,27194,19139,57.5,4.5,3.3,21.49,Europe
43,Guatemala,GTM,2017,8353,6.33,8.91,0.83,64.5,0.91,-0.06,0.8,12.46720811,5.67,3605,1202.165793,0.3089,18.9,,,,23.09,,1660,1571,83.1,7.6,7.3,2.46,Americas
44,Guinea,GIN,2017,2418,4.87,7.7,0.63,53.3,0.74,0.04,0.75,13.45590867,6.31,3278,472.9680118,0.3089,23,,,,13.38,,99,17,12.4,8.8,7.4,4.32,Africa
45,Haiti,HTI,2017,1764,3.82,7.41,0.65,55.5,0.48,0.38,0.65,15.14453012,7.07,3484,872.7871528,0.3089,23,,,,15.37,,467,460,15.3,7.7,8.8,13.73,Americas
46,Honduras,HND,2017,5562,6.02,8.4,0.84,67,0.9,0.08,0.78,8.267912718,3.71,2987,908.9842065,3.3447,44.4,,50.5,49.8,,,851,722,79.1,7.3,6.4,5.53,Americas
47,Hong Kong S.A.R. of China,HKG,2017,,5.36,10.93,0.83,0,0.83,0.13,0.42,,,,,3.3447,42.3,,,,17.84,,27884,38170,,,,3.09,Asia
48,Hungary,HUN,2017,29529,6.07,10.2,0.88,67.2,0.66,-0.14,0.89,42.96570112,20.82,4176,1234.804479,3.3447,27.9,,,,,,15785,8448,52,2.7,3.3,4.16,Europe
49,India,IND,2017,6185,4.05,8.78,0.61,59.7,0.89,-0.05,0.78,31.6630413,15.27,3996,664.165214,0.3767,30.2,405,,,,,15543,27878,77.9,7.4,6.1,5.42,Asia
50,Indonesia,IDN,2017,10934,5.1,9.32,0.8,61.9,0.87,0.48,0.9,6.663079288,3.07,2356,450.9838178,0.7779,30.3,410,38.1,10.6,,,14040,14691,72.9,6.2,6.9,4.18,Asia
51,Iran,IRN,2017,14536,4.72,9.86,0.71,65.7,0.73,0.19,0.71,13.7841693,5.81,7231,515.3438803,3.2946,20,,,,20.04,,4867,4632,85.8,7.5,6.5,12.1,Asia
52,Iraq,IRQ,2017,10972,4.46,9.67,0.7,59.6,0.63,-0.03,0.76,8.213019071,3.49,4460,485.4096169,1.1292,36.8,,,,,85.6,,2959,15.4,1,7.7,13.02,Asia
53,Ireland,IRL,2017,78128,7.06,11.1,0.94,72.2,0.91,0.22,0.34,20.01941474,9.32,4732,708.3256149,0.8375,29.9,,,,,,10338,14294,22.3,2.1,2.8,6.71,Europe
54,Israel,ISR,2017,38967,7.33,10.41,0.92,73.1,0.77,0.15,0.79,13.13904881,6.06,3946,314.8619238,3.4783,45.5,413,,,,,3613,7578,78.9,6.9,3.8,4.22,Asia
55,Italy,ITA,2017,41785,6.2,10.47,0.92,73.4,0.63,-0.03,0.87,15.47216052,7.16,4359,296.6420662,3.9805,47.3,429,,,,,58253,46719,45.2,4.5,2,11.21,Europe
56,Japan,JPN,2017,40801,5.91,10.57,0.88,74.9,0.85,-0.21,0.66,45.97211813,22.45,4086,340.4725031,2.3237,22.5,377,,,,,28691,36978,37.4,1.6,3.2,2.8,Asia
57,Jordan,JOR,2017,9841,4.81,9.02,0.81,66.6,0.77,-0.15,0,6.914043711,2.86,4321,514.8415094,2.3608,30.6,,,,12.07,,3844,5549,78.7,5.7,4.2,15.11,Asia
58,Kazakhstan,KAZ,2017,24863,5.88,10.09,0.91,64,0.75,-0.04,0.76,48.98026273,23.81,3922,1711.717571,2.3608,19.7,,27.5,2.5,11.42,,7701,2356,65.9,5.2,3.6,4.9,Asia
59,Kenya,KEN,2017,4036,4.48,7.99,0.71,59.5,0.85,0.25,0.85,13.58450577,6.33,3416,643.3563978,2.3608,41.8,,,,17.71,,1364,1564,96.4,8.3,7.6,2.69,Africa
60,Kosovo,KXK,2017,,6.15,9.19,0.79,0,0.86,0.12,0.93,,,,,2.3608,29.1,,,,,,,,,,,,Europe
61,Kuwait,KWT,2017,50856,6.09,11.1,0.85,66.5,0.88,-0.03,0,7.565093725,3.05,5072,597.708232,2.3608,29.3,,,,,96.04,7407,643,58.5,4.2,3.6,1.8,Asia
62,Kyrgyzstan,KGZ,2017,5047,5.63,8.13,0.88,63.8,0.86,0.17,0.87,19.66563572,9.33,3092,1399.876209,2.3608,26.5,,27.3,25.6,15.73,,421,480,8.3,6.5,7,6.89,Asia
63,Latvia,LVA,2017,28489,5.98,10.13,0.9,66.5,0.7,-0.15,0.8,46.74118784,22.51,4602,2248.751365,2.0255,43.6,,,,,,1949,951,46.4,3,4.8,8.72,Europe
64,Lebanon,LBN,2017,16082,5.15,9.36,0.78,66.6,0.6,-0.06,0.91,10.87908125,4.77,4718,565.6583206,2.0255,30.5,,,,,,1857,8086,88.2,8.7,5,6.22,Asia
65,Liberia,LBR,2017,1516,4.42,7.07,0.68,55.3,0.73,0,0.87,15.3598258,7.19,3681,511.3032075,0.9277,17.8,,,,8.26,48.3,,,93.8,6.4,7.2,3,Africa
66,Lithuania,LTU,2017,33821,6.27,10.3,0.93,66.7,0.75,-0.17,0.79,74.61218244,36.27,5654,2250.063084,0.9277,43.7,439,,,,,2523,1325,41.7,3.1,4.4,7.07,Europe
67,Luxembourg,LUX,2017,112823,7.06,11.44,0.91,72.6,0.9,0.05,0.33,24.51892231,11.67,4219,590.3558995,4.8257,39.3,441,,,,,1046,4993,23.4,1.7,2.1,5.52,Europe
68,Macedonia,MKD,2017,15552,5.23,9.48,0.8,67.3,0.75,-0.05,0.86,18.57321968,8.8,3192,1136.878724,3.009,37.9,,,22.2,,,631,331,66.1,5.6,5.2,22.38,Europe
69,Madagascar,MDG,2017,1584,4.08,7.26,0.63,58.7,0.57,-0.03,0.85,13.15925444,6.09,3528,713.0177572,3.1905,19.7,,,,,,255,849,84,7.1,6.7,1.73,Africa
70,Malawi,MWI,2017,1038,3.42,7.05,0.56,56.9,0.85,0.01,0.73,14.71014366,6.91,3241,739.2413026,0.7308,16.5,,,,14.34,,837,35,88,4.8,7.9,5.71,Africa
71,Malaysia,MYS,2017,26648,5.34,10.25,0.79,67,0.87,0.12,0.89,15.77893551,7.44,3488,445.0753879,3.2066,28.5,398,,,21.68,95.08,25948,20311,65.4,6.3,5,3.41,Asia
72,Mali,MLI,2017,2248,4.74,7.61,0.74,51.2,0.75,-0.07,0.86,7.757876139,3.58,2591,436.8378902,2.3827,15.8,,,,16.53,,11,206,92.9,9,8.5,7.33,Africa
73,Malta,MLT,2017,41787,6.68,10.52,0.94,72.2,0.92,0.25,0.69,13.26618008,6.13,3772,495.3870008,2.3827,41.8,,,,,,2274,1746,38.6,3.6,3.7,4,Europe
74,Mauritania,MRT,2017,3686,4.68,8.22,0.78,56.7,0.53,-0.14,0.78,8.768290687,4.03,2887,483.8294138,0.1847,20.5,,,,,53.5,,24,93.7,6.9,6.9,9.58,Africa
75,Mexico,MEX,2017,19796,6.41,9.8,0.8,68,0.86,-0.2,0.8,13.0032987,6.03,3240,953.1947938,0.1847,28.3,413,,,,94.97,39291,22467,74.3,8.4,5.8,3.42,Americas
76,Moldova,MDA,2017,11651,5.33,8.74,0.83,64.3,0.55,-0.02,0.93,36.51894843,17.45,4270,2282.460374,0.1847,36.7,,25.9,,18.33,,145,443,72,6.1,6.6,4.1,Europe
77,Mongolia,MNG,2017,11312,5.33,9.36,0.92,62.1,0.67,0.11,0.86,33.6298153,16.14,3807,1823.261202,0.1847,28.3,,,,12.65,,469,462,56.7,3.6,3.3,6.36,Asia
78,Montenegro,MNE,2017,19704,5.61,9.71,0.88,68.3,0.63,-0.08,0.76,25.54509528,12.24,3503,1089.714437,0.1847,40.7,,,,,,1877,1110,55.7,4,4,16.07,Europe
79,Morocco,MAR,2017,7515,5.31,8.92,0.64,65.6,0.81,-0.22,0.84,16.64580452,7.25,7201,481.8847302,0.1847,29.3,435,,,,,11349,9086,74.9,5.8,8.2,9.19,Africa
80,Nepal,NPL,2017,3099,4.74,7.87,0.82,62.4,0.85,0.14,0.77,16.80343351,7.83,3937,824.4006967,0.9895,24.1,,,,17.1,,940,712,91,6.5,6.5,1.4,Asia
81,Netherlands,NLD,2017,55348,7.46,10.8,0.94,72.2,0.92,0.25,0.36,25.48889338,12.13,4508,404.9068678,0.9895,42.6,457,,,,,17924,23414,27.4,1.5,2.6,4.84,Europe
82,New Zealand,NZL,2017,40922,7.33,10.49,0.95,73,0.94,0.3,0.22,25.42877099,12.07,4261,973.7506298,0.9895,37.9,458,,,,,3555,10594,22.6,1.2,2.1,4.7,Oceania
83,Nicaragua,NIC,2017,6004,6.48,8.55,0.84,67.2,0.92,0.01,0.67,12.62302188,5.82,3300,1032.087533,0.9895,25.7,,,,,,1787,841,77.4,5.6,8.1,3.3,Americas
84,Niger,NER,2017,847,4.62,6.83,0.58,53,0.68,-0.02,0.78,7.710456984,3.52,2830,408.4946016,0.9895,15.4,,,,13.22,,164,91,97.4,8.7,7.5,0.49,Africa
85,Nigeria,NGA,2017,5190,5.32,8.59,0.73,49.3,0.83,0.12,0.83,8.784232024,3.92,3600,476.9280958,3.6054,18.4,,,,,,,2615,11.6,9.2,7.2,8.39,Africa
86,Pakistan,PAK,2017,4571,5.83,8.47,0.69,58.1,0.71,0.04,0.71,9.402950887,4.24,3293,801.1368798,0.9101,23.8,,,,14.54,59.13,,866,98.9,9.1,7.2,3.94,Asia
87,Palestinian Territories,PS,2017,,4.63,8.39,0.82,0,0.63,-0.16,0.83,7.520327876,2.99,5386,479.9781691,3.4728,29.2,,,,,,503,225,,,,25.68,Asia
88,Panama,PAN,2017,30486,6.57,10.01,0.91,69.5,0.9,-0.16,0.84,11.05529027,5.07,3267,805.1610612,1.0005,28.2,,49.9,,,,1843,6824,5.7,5.4,4.6,3.9,Americas
89,Paraguay,PRY,2017,12594,5.71,9.38,0.9,65.5,0.89,0,0.81,12.44622828,5.66,3635,1158.24645,0.6004,28,,48.8,26.4,,,1584,399,71.6,6.6,5.8,4.61,Americas
90,Peru,PER,2017,12507,5.71,9.43,0.83,67.8,0.83,-0.16,0.9,6.931061509,3.11,2666,789.5793688,0.6004,23.5,403,43.3,21.7,18.24,94.15,4032,4573,7.3,7.1,7.3,3.46,Americas
91,Philippines,PHL,2017,7753,5.59,8.93,0.85,61.8,0.93,-0.14,0.71,11.30817077,5.38,2362,543.349737,0.6004,40.7,396,,,,,6621,8349,84.4,9.7,6.5,2.55,Asia
92,Poland,POL,2017,30143,6.2,10.22,0.88,68.9,0.83,-0.12,0.64,36.2747428,17.66,3017,1296.304543,2.3788,42.2,424,,14.8,,,18258,14083,4.8,1.8,4.5,4.89,Europe
93,Portugal,PRT,2017,33086,5.71,10.24,0.9,72.2,0.91,-0.17,0.88,26.94502468,12.72,5281,478.7653712,5.124,41.1,,,,,,15432,21586,29,1.3,2.2,8.87,Europe
94,Romania,ROU,2017,27298,6.09,10.06,0.81,66.9,0.84,-0.16,0.93,25.36871904,12.17,3443,1024.209476,0.2399,39.6,430,,23.6,,,10926,3008,5.9,3,4.5,4.93,Europe
95,Russia,RUS,2017,,5.58,10.12,0.9,63.9,0.73,-0.15,0.86,61.85006715,30.03,4599,2528.268616,2.9807,19,426,,13.2,,,24390,14983,79.2,8.9,4,5.21,Asia
96,Rwanda,RWA,2017,1951,3.11,7.55,0.52,60.5,0.91,0.05,0.21,13.50652903,6.19,3796,944.7828018,0.1371,27.5,,,,11.08,,,548,9.8,6.2,7.4,1.06,Africa
97,Saudi Arabia,SAU,2017,47309,6.29,10.8,0.84,66,0.81,-0.14,0,7.702519123,3.14,4923,626.0764909,0.1371,18.8,386,,,,95.33,16109,15020,71.2,6.3,3.8,5.89,Asia
98,Senegal,SEN,2017,3225,4.68,8.08,0.74,59.2,0.69,-0.05,0.83,15.94269949,7.57,3166,489.4646303,2.5366,42.6,,,,21.05,51.9,1365,468,82.3,6.2,8,6.61,Africa
99,Serbia,SRB,2017,16599,5.12,9.63,0.88,67.8,0.68,-0.08,0.85,37.22466417,18.04,3696,1150.656673,0.0691,19,,,24.3,9.26,,1497,1706,7,5.5,5.3,13.48,Europe
100,Sierra Leone,SLE,2017,1643,4.09,7.25,0.65,49.2,0.71,0.09,0.85,12.47441708,5.79,3426,509.6683058,3.4156,34.6,,,,19.89,,51,39,89.3,4.3,8.5,4.5,Africa
101,Singapore,SGP,2017,93981,6.38,11.38,0.9,76.5,0.93,0.13,0.16,18.83842043,8.91,3888,389.6817188,3.4156,40.5,409,,,,97.2,13903,19891,32.5,1.6,3.3,4.2,Asia
102,Slovakia,SVK,2017,30906,6.37,10.31,0.91,68.6,0.71,-0.06,0.92,25.99124712,12.45,3318,1440.988461,3.4156,44.5,426,,,,,2162,3024,44.3,1.8,4.2,8.13,Europe
103,Slovenia,SVN,2017,36651,6.17,10.35,0.93,70.8,0.92,-0.02,0.83,42.94307093,20.79,4244,1293.617053,3.4156,27.1,,,,,,3991,3057,32.4,1.6,3.1,6.56,Europe
104,South Africa,ZAF,2017,12703,4.51,9.41,0.87,56.1,0.79,-0.13,0.86,24.00510513,11.32,4526,925.7538493,3.4156,42.7,437,,,18.72,87.05,10285,9706,72.3,6.1,5.5,27.07,Africa
105,South Korea,KOR,2017,38649,5.87,10.49,0.81,73.3,0.54,0.01,0.85,59.019694,28.91,4099,833.4426503,3.0861,32.8,384,,,,,13336,17173,38.1,2.1,3.9,3.7,Asia
106,Spain,ESP,2017,39576,6.23,10.44,0.9,74.1,0.76,-0.03,0.79,17.34592238,8.07,4403,453.0228729,0.0434,41.2,433,,,,,81869,75906,37.9,2.8,1.9,17.22,Europe
107,Sri Lanka,LKA,2017,12669,4.33,9.37,0.82,67,0.83,0.09,0.84,42.82691231,20.95,3474,575.6492225,0.0434,40.7,,,,14.5,91.9,2116,5083,86.6,7.4,7.7,4.18,Asia
108,Sweden,SWE,2017,52693,7.29,10.75,0.91,72.5,0.93,0.17,0.24,29.3674347,13.89,5440,596.4054712,0.8075,24.5,447,,,,,7054,14168,22.1,2.1,1.5,6.72,Europe
109,Taiwan,TWN,2017,50593,6.36,10.78,0.89,0,0.76,-0.07,0.74,37.90984957,18.47,3200,1112.731616,1.3025,17.7,407,,,,,,,,,,,Asia
110,Tajikistan,TJK,2017,3090,5.83,7.98,0.66,63.8,0.83,0.12,0.72,11.21011776,5.25,2381,1165.804384,1.3025,37.7,,,29.5,,,431,172,81.8,6.7,6.2,11.27,Asia
111,Tanzania,TZA,2017,2809,3.35,7.94,0.71,57,0.8,0.1,0.65,10.73388291,4.88,3516,707.531656,1.3025,31.6,,,,24.4,,1275,2265,8.3,5.5,7.6,2.03,Africa
112,Thailand,THA,2017,17382,5.94,9.7,0.88,67,0.92,0.21,0.88,25.72671245,12.42,3321,618.8497827,1.8492,30.9,417,36.5,7.9,,,35592,57057,76.2,9,4.7,0.83,Asia
113,Tunisia,TUN,2017,10608,4.12,9.3,0.72,66.6,0.48,-0.23,0.87,8.075743968,3.29,5226,514.9758716,0.168,27.9,,,,,,7052,1782,74.2,8.3,6.1,15.38,Africa
114,Turkey,TUR,2017,27934,5.61,10.13,0.88,66.4,0.64,-0.24,0.67,8.4103357,3.55,4636,560.0094671,0.168,15.8,408,,13.9,,96.15,37601,31870,8.8,8.3,3.9,10.82,Europe
115,Turkmenistan,TKM,2017,14205,5.23,9.7,0.91,61.8,0.72,0.05,0,18.52549323,8.8,2863,1384.639583,5.0794,40.6,,,,,,,,,,,,Asia
116,Uganda,UGA,2017,1754,4,7.48,0.74,55.3,0.77,0.07,0.82,11.65590049,5.19,4501,602.2686449,5.0794,30.3,,,,12.46,,1402,957,96,7.1,7.6,1.79,Africa
117,Ukraine,UKR,2017,7902,4.31,8.98,0.86,64.3,0.6,0.02,0.94,63.34020639,30.61,5517,2624.825568,2.612,40.5,431,,2.4,13.05,,,,74,7.6,5.2,9.51,Europe
118,United Arab Emirates,ARE,2017,65806,7.04,11.11,0.84,66.9,0.96,0.21,0,13.59209474,6.15,4449,736.3789729,0.9054,38.1,,,,,,20394,21048,43.7,3.1,2.5,2.46,Asia
119,United Kingdom,GBR,2017,45975,7.1,10.59,0.94,72.1,0.81,0.29,0.42,18.74825044,8.67,4785,753.0017796,0.9054,35,,,,,,37651,47719,33.2,2.7,2.1,4.34,Europe
120,United States,USA,2017,59958,6.99,10.91,0.92,68.4,0.87,0.19,0.68,31.73324366,15.02,5366,1118.307987,0.9054,28.6,438,,,,,,,,,,,Americas
121,Uruguay,URY,2017,21325,6.34,9.94,0.91,68.9,0.9,-0.1,0.63,40.68880117,19.77,4102,625.871335,0.9054,28.3,,39.5,7.9,14.94,98.62,3674,2660,36.8,3.8,4.4,7.89,Americas
122,Uzbekistan,UZB,2017,6519,6.42,8.71,0.94,64.8,0.99,0.12,0.46,19.73207661,9.42,2971,1106.973087,0.9054,30.5,,,,23.03,,2690,835,81.5,7.1,6,5.83,Asia
123,Venezuela,VEN,2017,,5.07,8.98,0.9,66.3,0.64,-0.17,0.84,19.06230936,9.03,3511,827.9041165,0.9054,19.5,,,,,,427,,82.9,7.3,5.5,7.3,Americas
124,Vietnam,VNM,2017,7156,5.18,8.74,0,67.7,0,0,0,16.22263194,7.76,2566,889.1944212,0.1859,16.8,409,,,,,12922,8890,7.2,4.6,6.2,2.05,Asia
125,Yemen,YEM,2017,,3.25,7.79,0.79,55.9,0.6,-0.17,0,10.88936402,4.83,4477,448.1227485,0.1859,20,,,,,,,,,,,,Asia
126,Zambia,ZMB,2017,3485,3.93,8.22,0.74,54.8,0.82,0.13,0.74,14.31259738,6.69,3367,741.0562023,0.1859,,,,,14.81,,1083,653,87.8,4.6,7.9,11.63,Africa
127,Zimbabwe,ZWE,2017,3134,3.64,7.85,0.75,55,0.75,-0.09,0.75,36.77774169,17.99,2944,765.6334261,0.1859,,,,70,20.79,,2423,158,11.6,8.1,7.9,5.17,Africa
