Country name,Code,GDP,Happiness Index,Log GDP,Social support,Healthy life exp,Freedom,Generosity,Pct corruption,Blue Index,Suicide,Depression & Anxiety,Substance Abuse,Physician perpop,Average Age,Sleep (min),Gini index,Pct Poverty,Pct spent ed,Literacy rate,Tourist arrivals,Rev tourism,Fragile index ,Security index,brain drain,Unemployment rate,Continent
Benin,BEN,0.019629206,0.426900585,0.173535792,0,0.215277778,0.535714286,0.324675325,0.772151899,0.123319209,0.093684526,0.190564103,0.085708998,0.082135287,0.087774295,,,,0.557327586,,0.0031125,0.001897483,0.776025237,0.597701149,0.813333333,0.074115877,Africa
Bolivia,BOL,0.067666286,0.582846004,0.431670282,0.653846154,0.541666667,0.803571429,0.233766234,0.835443038,0.190774733,0.087698294,0.246564103,0.238061804,0.34861903,0.278996865,,0.666666667,0.50295858,,,0.012657498,0.011806562,0.767613039,0.632183908,0.76,0.119638826,Americas
Bosnia and Herzegovina,BIH,0.116060584,0.473684211,0.561822126,0.653846154,0.6875,0.232142857,0.493506494,0.962025316,0.296224853,0.188865609,0.18174359,0.518065359,0.34861903,0.836990596,,,,,,0.010513332,0.012768481,0.7276551,0.540229885,0.56,0.753950339,Europe
Botswana,BWA,0.146513539,0.16374269,0.620390456,0.634615385,0.364583333,0.696428571,0.051948052,0.721518987,0.294061807,0.176893146,0.441025641,0.264266634,0.34861903,0.285266458,,,,,,0.018582775,0.006931084,0.630914826,0.356321839,0.56,0.639954853,Africa
Brazil,BRA,0.122106523,0.71539961,0.592190889,0.884615385,0.642361111,0.589285714,0.142857143,0.797468354,0.347249159,0.114337025,0.430974359,0.496436094,0.34861903,0.520376176,0.481481481,1,,,0.869683434,0.075829712,0.081156938,0.677181914,0.655172414,0.44,0.463882619,Americas
Bulgaria,BGR,0.181601415,0.475633528,0.650759219,0.961538462,0.65625,0.464285714,0.181818182,0.949367089,0.314569996,0.336725531,0.281025641,0.325958815,0.34861903,0.855799373,0.703703704,,0.289940828,,,0.10227443,0.061431019,0.524710831,0.379310345,0.386666667,0.213318284,Europe
Burkina Faso,BFA,0.008430378,0.38791423,0.132321041,0.653846154,0.197916667,0.321428571,0.311688312,0.721518987,0.135411701,0.128105358,0.199384615,0.078745131,0.34861903,0.059561129,,,,0.624568966,,0.001521666,0.002055607,0.885383807,0.850574713,0.826666667,0.215575621,Africa
Cambodia,KHM,0.027514825,0.376218324,0.297180043,0.634615385,0.46875,0.946428571,0.493506494,0.835443038,0.07781796,0.037114636,0.096205128,0.100134116,0.421734058,0.310344828,,,,,,0.064451797,0.052813282,0.861198738,0.655172414,0.84,0.007148232,Asia
Cameroon,CMR,0.024183754,0.469785575,0.277657267,0.480769231,0.145833333,0.607142857,0.337662338,0.860759494,0.160170254,0.148458545,0.231794872,0.100257346,0.421734058,0.097178683,,,,0.386206897,,0.012334721,0.006944261,0.965299685,0.793103448,0.84,0.109857035,Africa
Canada,CAN,0.426037722,0.925925926,0.837310195,0.942307692,0.892361111,0.928571429,0.584415584,0.253164557,0.296506845,0.298413649,0.33374359,0.257363298,0.393950348,0.840125392,0.814814815,,,,,0.240607744,0.268599288,0.197686646,0.137931034,0.053333333,0.220090293,Americas
Chad,TCD,0.006608559,0.37037037,0.138828633,0.423076923,0,0.321428571,0.376623377,0.797468354,0.103252028,0.070038911,0.185641026,0.054076147,0.318157173,0.07523511,,,,0.405603448,,0.000876111,,0.164037855,0.965517241,1,0.05116629,Africa
Chile,CHL,0.204302708,0.713450292,0.689804772,0.846153846,0.767361111,0.642857143,0.350649351,0.860759494,0.358705742,0.258605208,0.489025641,0.328486376,0.338957988,0.595611285,0.49382716,0.759856631,0.091715976,0.618534483,0.934161973,0.074227351,0.057398867,0.392218717,0.252873563,0.333333333,0.243416102,Americas
China,CHN,0.118802243,0.475633528,0.607375271,0.634615385,0.739583333,0.803571429,0.12987013,,0.226278938,0.186770428,0.284717949,0.207348438,0.338957988,0.689655172,0.580246914,,0.01035503,,,0.700070319,0.507879826,0.74553102,0.563218391,0.48,0.148607976,Asia
Colombia,COL,0.120248982,0.682261209,0.577006508,0.903846154,0.684027778,0.732142857,0.168831169,0.911392405,0.15904486,0.086800359,0.090461538,0.299872683,0.338957988,0.457680251,0.382716049,0.870967742,0.362426036,0.39612069,,0.04173055,0.077296086,0.789695058,0.67816092,0.653333333,0.315274643,Americas
Costa Rica,CRC,0.162222262,0.890838207,0.609544469,0.923076923,0.8125,0.910714286,0.285714286,0.734177215,0.234402858,0.168811733,0.280615385,0.253781457,0.661189885,0.865203762,0.567901235,0.82078853,0.26035503,1,,0.033995412,0.050204243,0.423764458,0.298850575,0.373333333,0.287810384,Americas
Croatia,HRV,0.230879831,0.522417154,0.696312364,0.634615385,0.760416667,0.517857143,0.246753247,0.924050633,0.389126401,0.409757558,0.368820513,0.388801133,0.661189885,0.670846395,0.740740741,,0.25147929,,,0.179625808,0.146422454,0.018927445,0.287356322,0.453333333,0.40331076,Europe
Cyprus,CYP,0.292750232,0.662768031,0.776572668,0.730769231,0.895833333,0.678571429,0.428571429,0.873417722,0.155381548,0.081412751,0.283692308,0.101039584,0.690961668,0.836990596,,,,,,0.041972633,0.042930557,0.61829653,0.390804598,0.36,0.397291196,Asia
Czech Republic,CZE,0.33616132,0.805068226,0.772234273,0.884615385,0.767361111,0.714285714,0.155844156,0.898734177,0.348262953,0.343011075,0.29825641,0.403521374,0.24918259,0.840125392,,,,,,0.1169954,0.101185927,0.003154574,0.183908046,0.2,0.090293454,Europe
Denmark,DNK,0.484193041,0.961013645,0.852494577,0.980769231,0.847222222,0.946428571,0.584415584,0.025316456,0.233151986,0.277162526,0.278974359,0.143319074,0.24918259,0.398119122,,,,,,0.143117341,0.111898801,0.186119874,0.08045977,0.08,0.19751693,Europe
Dominican Republic,DOM,0.141887547,0.575048733,0.603036876,0.865384615,0.618055556,0.767857143,0.220779221,0.759493671,0.213388464,0.067943729,0.236717949,0.335503714,0.124196967,0.385579937,,,0.343195266,,,0.071207073,0.094452497,0.685594111,0.551724138,0.773333333,0.200902935,Americas
Ecuador,ECU,0.096190255,0.619883041,0.52494577,0.788461538,0.711805556,0.803571429,0.155844156,0.721518987,0.24055295,0.17958695,0.280820513,0.261251388,0.124196967,0.26645768,,0.691756272,0.282544379,,0.864828122,0.020692358,0.020266175,0.772870662,0.666666667,0.6,0.126034612,Americas
Egypt,EGY,0.090796242,0.247563353,0.531453362,0.384615385,0.475694444,0.285714286,0.168831169,,0.156764921,0.061957498,0.32225641,0.086080854,0.629101425,0.36677116,0.271604938,,0.445266272,,0.444163915,0.093905265,0.113585453,0.904311251,0.816091954,0.453333333,0.423250564,Africa
El Salvador,SLV,0.067782382,0.717348928,0.446854664,0.75,0.628472222,0.589285714,0.155844156,0.784810127,0.295549197,0.215803652,0.287794872,0.383049067,0.561835598,0.855799373,,0.451612903,0.396449704,0.372413793,0.780345698,0.017810414,0.015957307,0.728706625,0.724137931,0.88,0.146726862,Americas
Estonia,EST,0.294473816,0.639376218,0.754880694,0.961538462,0.71875,0.767857143,0.246753247,0.64556962,0.622520536,0.414247231,0.570051282,0.883263095,0.527923369,0.849529781,0.851851852,,,,,0.0372693,0.0278034,0.430073607,0.264367816,0.36,0.198269375,Europe
Finland,FIN,0.416374937,1,0.824295011,1,0.836805556,0.946428571,0.376623377,0.037974684,0.383154422,0.385214008,0.577846154,0.186403105,0.527923369,0.815047022,0.975308642,,,,,0.036531523,0.068401634,0.156677182,0.08045977,0.133333333,0.30662152,Europe
France,FRA,0.392369794,0.77582846,0.811279826,0.942307692,0.899305556,0.714285714,0.220779221,0.556962025,0.378096269,0.418437594,0.603692308,0.112158906,0.104907744,0.10031348,0.87654321,,,,,1,0.894979576,0.312302839,0.264367816,0.12,0.335214447,Europe
Gabon,GAB,0.126455669,0.413255361,0.620390456,0.711538462,0.399305556,0.392857143,0.064935065,0.898734177,0.293384777,0.192457348,0.467692308,0.220004674,0.450667893,0.711598746,,0.451612903,0.458579882,,,,,0.736067298,0.482758621,0.64,0.733258089,Africa
Georgia,GEO,0.113801172,0.348927875,0.509761388,0.288461538,0.590277778,0.696428571,0.077922078,0.544303797,0.26713788,0.194253218,0.229128205,0.378032216,1,0.993730408,,0.448028674,0.288461538,0.25862069,0.991648864,0.046779716,0.038937936,0.764458465,0.666666667,0.48,0.506019564,Asia
Germany,DEU,0.465858755,0.859649123,0.843817787,0.865384615,0.840277778,0.732142857,0.571428571,0.316455696,0.310381219,0.353187668,0.439179487,0.138776503,0.015198068,0.178683386,0.75308642,,,,,0.431611468,0.742047701,0.255520505,0.126436782,0.106666667,0.122648608,Europe
Ghana,GHA,0.037061513,0.549707602,0.321041215,0.442307692,0.315972222,0.625,0.493506494,0.860759494,0.146610509,0.103561808,0.215179487,0.121090232,0.893071324,0.912225705,,,,0.566810345,,,0.011898801,0.692954784,0.32183908,0.92,0.140331076,Africa
Greece,GRC,0.25221476,0.485380117,0.711496746,0.596153846,0.850694444,0.017857143,0,0.898734177,0.228572698,0.063454056,0.552615385,0.069648653,0.893071324,0.210031348,0.728395062,,,,,0.31335954,0.251983133,0.56466877,0.402298851,0.266666667,0.79006772,Europe
Guatemala,GTM,0.067032221,0.71539961,0.451193059,0.75,0.583333333,0.857142857,0.298701299,0.810126582,0.243083899,0.084106555,0.256205128,0.388940015,0.043622562,0.109717868,,,,0.695689655,,0.019009303,0.020490183,0.833859096,0.75862069,0.8,0.074115877,Americas
Guinea,GIN,0.014029792,0.43079922,0.188720174,0.365384615,0.194444444,0.553571429,0.428571429,0.746835443,0.122708706,0.103262496,0.189128205,0.075735416,0.043622562,0.238244514,,,,0.277155172,,0.001014444,1.32E-05,0.090431125,0.896551724,0.813333333,0.144093303,Africa
Haiti,HTI,0.008189255,0.226120858,0.125813449,0.403846154,0.270833333,0.089285714,0.87012987,0.620253165,0.201620096,0.126010177,0.231384615,0.247465497,0.043622562,0.238244514,,,,0.362931034,,0.005256666,0.005850573,0.120925342,0.770114943,1,0.498118886,Americas
Honduras,HND,0.042107237,0.65497076,0.340563991,0.769230769,0.670138889,0.839285714,0.480519481,0.784810127,0.139296739,0.025441485,0.129435897,0.263012834,0.542414932,0.909090909,,0.899641577,0.701183432,,,0.009683332,0.009302938,0.791798107,0.724137931,0.68,0.189616253,Americas
Hong Kong S.A.R. of China,HKG,,0.526315789,0.889370933,0.75,,0.714285714,0.545454545,0.329113924,,,,,0.542414932,0.843260188,,,,0.469396552,,0.321313705,0.502753986,,,,0.097817908,Asia
Hungary,HUN,0.256144174,0.664717349,0.731019523,0.846153846,0.677083333,0.410714286,0.194805195,0.924050633,0.437951967,0.537563604,0.373333333,0.402958964,0.542414932,0.39184953,,,,,,0.181839141,0.111108183,0.506834911,0.195402299,0.266666667,0.13807374,Europe
India,IND,0.047670929,0.270955166,0.422993492,0.326923077,0.416666667,0.821428571,0.311688312,0.784810127,0.288571419,0.371445675,0.336410256,0.157858325,0.054762335,0.463949843,0.345679012,,,,,0.17904942,0.367136645,0.779179811,0.735632184,0.64,0.185477803,Asia
Indonesia,IDN,0.090081803,0.475633528,0.540130152,0.692307692,0.493055556,0.785714286,1,0.936708861,0.024192774,0.006285543,0,0.066292778,0.120680873,0.467084639,0.407407407,0.455197133,0.121301775,,,0.161723172,0.193371986,0.726603575,0.597701149,0.746666667,0.138826185,Asia
Iran,IRN,0.122249411,0.401559454,0.657266811,0.519230769,0.625,0.535714286,0.623376623,0.696202532,0.394077864,0.088296917,1,0.093936674,0.53418333,0.144200627,,,,0.564224138,,0.055978881,0.060824878,0.862250263,0.747126437,0.693333333,0.436794582,Asia
Iraq,IRQ,0.090421162,0.350877193,0.616052061,0.5,0.413194444,0.357142857,0.337662338,0.759493671,0.177175233,0.01885663,0.431589744,0.081079327,0.17840067,0.670846395,,,,,0.724412507,,0.038779813,0.121976866,0,0.853333333,0.471407073,Asia
Ireland,IRL,0.690156819,0.857699805,0.926247289,0.961538462,0.850694444,0.857142857,0.662337662,0.227848101,0.285855324,0.193355283,0.487384615,0.176826074,0.130473358,0.454545455,,,,,,0.119047345,0.18814073,0.194532072,0.126436782,0.2,0.234010534,Europe
Israel,ISR,0.340430092,0.910331384,0.776572668,0.923076923,0.881944444,0.607142857,0.571428571,0.797468354,0.143253112,0.095779707,0.326153846,0.007825782,0.564365871,0.943573668,0.444444444,,,,,0.04152305,0.099644222,0.789695058,0.67816092,0.333333333,0.140331076,Asia
Italy,ITA,0.365596199,0.69005848,0.789587852,0.923076923,0.892361111,0.357142857,0.337662338,0.898734177,0.179858592,0.128703981,0.410871795,0,0.646879056,1,0.641975309,,,,,0.67140074,0.615403874,0.43533123,0.402298851,0.093333333,0.40331076,Europe
Japan,JPN,0.356808602,0.633528265,0.811279826,0.846153846,0.944444444,0.75,0.103896104,0.632911392,0.320016403,0.586351392,0.354871795,0.018826023,0.374661124,0.222570533,0,,,,,0.330616621,0.487047042,0.353312303,0.068965517,0.253333333,0.086907449,Asia
Jordan,JOR,0.080320783,0.419103314,0.47505423,0.711538462,0.65625,0.607142857,0.181818182,,0.165599273,0,0.403076923,0.093720896,0.380756782,0.476489028,,,,0.220689655,,0.044185966,0.072908157,0.787592008,0.540229885,0.386666667,0.550037622,Asia
Kazakhstan,KAZ,0.21447453,0.627680312,0.707158351,0.903846154,0.565972222,0.571428571,0.324675325,0.759493671,0.518696977,0.627057767,0.321230769,0.607802393,0.380756782,0.134796238,,0.075268817,0.00147929,0.192672414,,0.088648599,0.030834102,0.652996845,0.482758621,0.306666667,0.165914221,Asia
Kenya,KEN,0.028479317,0.354775828,0.251626898,0.519230769,0.409722222,0.75,0.701298701,0.873417722,0.156739184,0.103861119,0.217435897,0.148920535,0.380756782,0.827586207,,,,0.463793103,,0.015597081,0.020397944,0.973711882,0.83908046,0.84,0.082768999,Africa
Kuwait,KWT,0.44660463,0.668615984,0.926247289,0.788461538,0.652777778,0.803571429,0.337662338,,0.230709629,0.00568692,0.557128205,0.129313761,0.380756782,0.435736677,,,,,0.927170324,0.085259433,0.008261958,0.575184017,0.367816092,0.306666667,0.049285177,Asia
Kyrgyzstan,KGZ,0.037508037,0.578947368,0.281995662,0.846153846,0.559027778,0.767857143,0.597402597,0.898734177,0.27282981,0.193654594,0.150974359,0.473860476,0.380756782,0.347962382,,0.068100358,0.343195266,0.378448276,,0.004726388,0.006114113,0.047318612,0.632183908,0.76,0.240782543,Asia
Latvia,LVA,0.246856469,0.647173489,0.715835141,0.884615385,0.652777778,0.482142857,0.181818182,0.810126582,0.629111347,0.588147261,0.460717949,0.838468831,0.32566584,0.884012539,,,,,,0.02234083,0.012320464,0.447949527,0.229885057,0.466666667,0.309631302,Europe
Lebanon,LBN,0.136055941,0.485380117,0.548806941,0.653846154,0.65625,0.303571429,0.298701299,0.949367089,0.219076345,0.057168512,0.484512821,0.115547702,0.32566584,0.473354232,,,,,,0.021280275,0.106338121,0.887486856,0.885057471,0.493333333,0.215575621,Asia
Liberia,LBR,0.005974495,0.343079922,0.052060738,0.461538462,0.263888889,0.535714286,0.376623377,0.898734177,0.164532638,0.129601916,0.271794872,0.092201126,0.145293528,0.07523511,,,,0.056465517,0,,,0.94637224,0.620689655,0.786666667,0.094431904,Africa
Lithuania,LTU,0.294473816,0.703703704,0.752711497,0.942307692,0.659722222,0.571428571,0.155844156,0.797468354,0.83851502,1,0.676512821,0.83903224,0.145293528,0.887147335,0.765432099,,,,,0.028957774,0.017248649,0.398527865,0.24137931,0.413333333,0.247554552,Europe
Luxembourg,LUX,1,0.857699805,1,0.903846154,0.864583333,0.839285714,0.441558442,0.215189873,0.257334381,0.263693505,0.382153846,0.126155792,0.78574832,0.749216301,0.790123457,,,,,0.011931248,0.065581763,0.206098843,0.08045977,0.106666667,0.18924003,Europe
Macedonia,MKD,0.131322783,0.500974659,0.57483731,0.692307692,0.680555556,0.571428571,0.311688312,0.886075949,0.236725404,0.177791081,0.171487179,0.360897952,0.487258269,0.705329154,,,0.292899408,,,0.007147221,0.004150744,0.655099895,0.528735632,0.52,0.823551543,Europe
Madagascar,MDG,0.006581768,0.276803119,0.093275488,0.365384615,0.381944444,0.25,0.337662338,0.873417722,0.171976446,0.096677641,0.240410256,0.17884144,0.517079342,0.134796238,,,,,,0.002812777,0.010976413,0.843322818,0.701149425,0.72,0.046651618,Africa
Malawi,MWI,0.001705723,0.148148148,0.047722343,0.230769231,0.319444444,0.75,0.38961039,0.721518987,0.164288205,0.121221191,0.181538462,0.190104962,0.112942182,0.034482759,,,,0.318534483,,0.009521943,0.000250362,0.885383807,0.436781609,0.88,0.196388262,Africa
Malaysia,MYS,0.230415446,0.522417154,0.74186551,0.673076923,0.670138889,0.785714286,0.532467532,0.924050633,0.144348275,0.137084705,0.232205128,0.063754993,0.519724627,0.410658307,0.259259259,,,0.634913793,0.908525927,0.298995931,0.267426538,0.647739222,0.609195402,0.493333333,0.109857035,Asia
Mali,MLI,0.01251161,0.40545809,0.169197397,0.576923077,0.121527778,0.571428571,0.285714286,0.886075949,0.04332413,0.021550434,0.048205128,0.060216827,0.384355027,0.012539185,,,,0.412931034,,0,0.002503624,0.936908517,0.91954023,0.96,0.257336343,Africa
Malta,MLT,0.36561406,0.783625731,0.800433839,0.961538462,0.850694444,0.875,0.701298701,0.670886076,0.157900411,0.097874888,0.290461538,0.085364807,0.384355027,0.827586207,,,,,,0.026087357,0.022796152,0.365930599,0.298850575,0.32,0.132054176,Europe
Mauritania,MRT,0.025353647,0.393762183,0.301518438,0.653846154,0.3125,0.178571429,0.194805195,0.784810127,0.074781044,0.035019455,0.108923077,0.080400599,0.023216075,0.159874608,,,,,0.100990484,,0.000105416,0.945320715,0.67816092,0.746666667,0.341986456,Africa
Mexico,MEX,0.169223762,0.730994152,0.644251627,0.692307692,0.704861111,0.767857143,0.116883117,0.810126582,0.186072415,0.094881772,0.181333333,0.282002139,0.023216075,0.404388715,0.444444444,,,,0.90638959,0.452811048,0.295836079,0.741324921,0.850574713,0.6,0.110233258,Americas
Moldova,MDA,0.096484961,0.520467836,0.414316703,0.75,0.576388889,0.214285714,0.350649351,0.974683544,0.56075283,0.4366956,0.392615385,0.852947504,0.023216075,0.667711599,,0.017921147,,0.490517241,,0.001544722,0.005626565,0.717139853,0.586206897,0.706666667,0.135816403,Europe
Mongolia,MNG,0.093457527,0.520467836,0.548806941,0.923076923,0.5,0.428571429,0.519480519,0.886075949,0.450279785,0.397485783,0.297641026,0.655712548,0.023216075,0.404388715,,,,0.245689655,,0.005279721,0.005876927,0.556256572,0.298850575,0.266666667,0.220842739,Asia
Montenegro,MNE,0.168402158,0.575048733,0.62472885,0.846153846,0.715277778,0.357142857,0.272727273,0.759493671,0.285558764,0.280754265,0.235282051,0.340639975,0.023216075,0.793103448,,,,,,0.02151083,0.014415602,0.545741325,0.344827586,0.36,0.586155004,Europe
Morocco,MAR,0.059548475,0.516569201,0.453362256,0.384615385,0.621527778,0.678571429,0.090909091,0.860759494,0.401603086,0.131397785,0.993846154,0.079565319,0.023216075,0.435736677,0.716049383,,,,,0.130701926,0.119515088,0.747634069,0.551724138,0.92,0.32731377,Africa
Nepal,NPL,0.020111452,0.40545809,0.225596529,0.730769231,0.510416667,0.75,0.558441558,0.772151899,0.233249375,0.148757857,0.324307692,0.226682575,0.15544748,0.272727273,,,,0.4375,,0.010709304,0.009171169,0.916929548,0.632183908,0.693333333,0.034236268,Asia
Netherlands,NLD,0.486720369,0.935672515,0.861171367,0.961538462,0.850694444,0.875,0.701298701,0.253164557,0.25513319,0.277461838,0.441435897,0.046501834,0.15544748,0.852664577,0.987654321,,,,,0.206497055,0.308314666,0.248159832,0.057471264,0.173333333,0.163656885,Europe
New Zealand,NZL,0.357889191,0.910331384,0.793926247,0.980769231,0.878472222,0.910714286,0.766233766,0.075949367,0.319088823,0.275665968,0.390769231,0.29083127,0.15544748,0.705329154,1,,,,,0.040854439,0.139385953,0.197686646,0.022988506,0.106666667,0.158389767,Oceania
Nicaragua,NIC,0.046054512,0.744639376,0.373101952,0.769230769,0.677083333,0.875,0.38961039,0.64556962,0.199375119,0.088596229,0.193641026,0.315888102,0.15544748,0.322884013,,,,,,0.02047333,0.010870997,0.773922187,0.528735632,0.906666667,0.105718585,Americas
Niger,NER,0,0.382066277,0,0.269230769,0.184027778,0.446428571,0.350649351,0.784810127,0.05500939,0.019754565,0.097230769,0.048042835,0.15544748,0,,,,0.270258621,,0.00176375,0.000988272,0.984227129,0.885057471,0.826666667,0,Africa
Nigeria,NGA,0.038785097,0.518518519,0.381778742,0.557692308,0.055555556,0.714285714,0.532467532,0.848101266,0.121447621,0.031727028,0.255179487,0.077436349,0.585248838,0.094043887,,,,,,,0.034246936,0.082018927,0.942528736,0.786666667,0.297215952,Africa
Pakistan,PAK,0.033257127,0.617933723,0.355748373,0.480769231,0.361111111,0.5,0.428571429,0.696202532,0.150066814,0.041304999,0.192205128,0.216690314,0.142401788,0.263322884,,,,0.327155172,0.210332103,,0.011200422,1,0.931034483,0.786666667,0.12979684,Asia
Palestinian Territories,PS,,0.384015595,0.338394794,0.730769231,,0.357142857,0.168831169,0.848101266,0.234725309,0.003891051,0.621538462,0.078746414,0.563462202,0.432601881,,,,,,0.005671666,0.002753986,,,,0.947705041,Asia
Panama,PAN,0.264690648,0.762183236,0.689804772,0.903846154,0.756944444,0.839285714,0.168831169,0.860759494,0.157146144,0.06614786,0.186871795,0.218418778,0.157254818,0.401253918,,0.878136201,,,,0.021118886,0.089708789,0.01997897,0.505747126,0.44,0.128291949,Americas
Paraguay,PRY,0.104906409,0.59454191,0.553145336,0.884615385,0.618055556,0.821428571,0.376623377,0.82278481,0.238747341,0.083807243,0.262358974,0.370075805,0.091517014,0.394984326,,0.838709677,0.355029586,,,0.018133192,0.005046778,0.712933754,0.643678161,0.6,0.155003762,Americas
Peru,PER,0.104129456,0.59454191,0.563991323,0.75,0.697916667,0.714285714,0.168831169,0.936708861,0.094266224,0.00748279,0.063589744,0.211726139,0.091517014,0.253918495,0.320987654,0.641577061,0.285502959,0.486637931,0.890464168,0.046353188,0.060047437,0.036803365,0.701149425,0.8,0.111738149,Americas
Philippines,PHL,0.06167393,0.571150097,0.455531453,0.788461538,0.489583333,0.892857143,0.194805195,0.696202532,0.06087434,0.075426519,0.001230769,0.105965733,0.091517014,0.793103448,0.234567901,,,,,0.076198601,0.109803663,0.847528917,1,0.693333333,0.077501881,Asia
Poland,POL,0.261627492,0.69005848,0.735357918,0.846153846,0.736111111,0.714285714,0.220779221,0.607594937,0.335981774,0.442981143,0.135589744,0.429374436,0.383714243,0.840125392,0.580246914,,0.183431953,,,0.210347332,0.18536039,0.010515247,0.091954023,0.426666667,0.165537998,Europe
Portugal,PRT,0.287909909,0.59454191,0.739696312,0.884615385,0.850694444,0.857142857,0.155844156,0.911392405,0.324448905,0.295121221,0.6,0.078225494,0.834760035,0.805642633,,,,,,0.177769836,0.284227171,0.264984227,0.034482759,0.12,0.315274643,Europe
Romania,ROU,0.236220261,0.668615984,0.700650759,0.711538462,0.666666667,0.732142857,0.168831169,0.974683544,0.271379255,0.278659084,0.222974359,0.312504323,0.032285625,0.75862069,0.654320988,,0.313609467,,,0.125825677,0.039425484,0.022082019,0.229885057,0.426666667,0.167042889,Europe
Russia,RUS,,0.56920078,0.713665944,0.884615385,0.5625,0.535714286,0.181818182,0.886075949,0.743953017,0.813229572,0.460102564,0.958526915,0.482608481,0.112852665,0.604938272,,0.159763314,,,0.281035655,0.19721966,0.792849632,0.908045977,0.36,0.177577126,Asia
Rwanda,RWA,0.009859256,0.087719298,0.156182213,0.153846154,0.444444444,0.857142857,0.441558442,0.063291139,0.224481466,0.099670757,0.295384615,0.278389025,0.015395232,0.379310345,,,,0.178017241,,,0.007010146,0.063091483,0.597701149,0.813333333,0.021444695,Africa
Saudi Arabia,SAU,0.414928199,0.707602339,0.861171367,0.769230769,0.635416667,0.678571429,0.194805195,,0.225481102,0.008380724,0.526564103,0.141498479,0.015395232,0.106583072,0.111111111,,,,0.913381239,0.185574141,0.197707208,0.708727655,0.609195402,0.333333333,0.203160271,Asia
